PAYERGROUPCODE,STATECODE,MONTHUID,ACTIVEMEMBERSHIP,ACTIVEMEMBERSHIP_FORECAST,ACTIVEMEMBERSHIP_FORECAST_LOWER,ACTIVEMEMBERSHIP_FORECAST_UPPER,ACTIVEMEMBERSHIP_FORECAST_MAE,MODEL
All,AZ,2019-04,129889,129889.005727883,129782.649556368,129996.079201631,394.723762672,PROPHET
All,AZ,2019-05,128774,128773.993616637,128674.907290425,128875.201171145,394.723762672,PROPHET
All,AZ,2019-06,127801,127822.513481419,127716.152736827,127928.86609671,394.723762672,PROPHET
All,AZ,2019-07,127495,127452.672668366,127348.365573731,127557.881855267,394.723762672,PROPHET
All,AZ,2019-08,125675,125716.634149147,125617.941668179,125823.694749217,394.723762672,PROPHET
All,AZ,2019-09,124868,124841.771922845,124739.954246317,124953.743197124,394.723762672,PROPHET
All,AZ,2019-10,123973,123866.128248281,123761.940771176,123968.054819589,394.723762672,PROPHET
All,AZ,2019-11,122635,122857.963117899,122757.749330053,122967.476989403,394.723762672,PROPHET
All,AZ,2019-12,121993,121882.319443335,121778.007295133,121982.685127399,394.723762672,PROPHET
All,AZ,2020-01,,120874.154312952,120597.546065111,121131.325276729,394.723762672,PROPHET
All,AZ,2020-02,,119865.98918257,118874.837347465,120754.411012352,394.723762672,PROPHET
All,All,2019-01,9720263,9721853.82318027,9639712.20823313,9805407.35149711,343241.727253964,PROPHET
All,All,2019-02,9695303,9700850.28217748,9621271.68839522,9781158.19834365,343241.727253964,PROPHET
All,All,2019-03,9672254,9681879.33908903,9599459.97498383,9767996.76058808,343241.727253964,PROPHET
All,All,2019-04,9650628,9660875.79978553,9579641.8847308,9739939.73388738,343241.727253964,PROPHET
All,All,2019-05,9642024,9640549.79697963,9555466.26284081,9724956.97881946,343241.727253964,PROPHET
All,All,2019-06,9626819,9619546.12749974,9536104.30165104,9699416.54015128,343241.727253964,PROPHET
All,All,2019-07,9669277,9598635.36900627,9516828.29957512,9683590.34004783,343241.727253964,PROPHET
All,All,2019-08,9406146,9509630.20312728,9428923.87211828,9591726.7668897,343241.727253964,PROPHET
All,All,2019-09,9403614,9420587.92404659,9334896.12560145,9506403.85175798,343241.727253964,PROPHET
All,All,2019-10,9378968,9269993.68473327,9184029.34559152,9352670.10810652,343241.727253964,PROPHET
All,All,2019-11,9197347,9114379.63744285,9029579.24140827,9194501.19122503,343241.727253964,PROPHET
All,All,2019-12,8839969,8963785.39812953,8878368.12434373,9042951.3714772,343241.727253964,PROPHET
All,All,2020-01,,8808171.35083911,8729107.40632136,8893024.81353114,343241.727253964,PROPHET
All,All,2020-02,,8652557.30354868,8562629.78456903,8746801.1064166,343241.727253964,PROPHET
All,CA,2019-01,1274907,1274992.34698338,1264102.72052575,1285447.40308901,103940.686021682,PROPHET
All,CA,2019-02,1273479,1272652.59444091,1262064.444023,1283439.9478413,103940.686021682,PROPHET
All,CA,2019-03,1270350,1270539.26949837,1260188.97861776,1281574.42422825,103940.686021682,PROPHET
All,CA,2019-04,1266041,1268199.51696135,1257111.78667574,1279161.61527576,103940.686021682,PROPHET
All,CA,2019-05,1265063,1265935.24037558,1254469.05616532,1275897.27662769,103940.686021682,PROPHET
All,CA,2019-06,1265960,1263595.48793377,1252669.77739265,1274719.94147293,103940.686021682,PROPHET
All,CA,2019-07,1259595,1261331.21133654,1250419.13752941,1272280.13213346,103940.686021682,PROPHET
All,CA,2019-08,1252145,1258991.45611213,1247484.52143751,1269580.08081446,103940.686021682,PROPHET
All,CA,2019-09,1255737,1256651.70081118,1245482.98535191,1267063.03884745,103940.686021682,PROPHET
All,CA,2019-10,1252200,1241879.90000911,1230708.45733814,1252793.09841322,103940.686021682,PROPHET
All,CA,2019-11,1244453,1226615.70584698,1215954.71467569,1237527.80239382,103940.686021682,PROPHET
All,CA,2019-12,1192466,1211843.90504492,1201645.08703576,1222130.81289316,103940.686021682,PROPHET
All,CA,2020-01,,1196579.71088279,1185190.95631587,1207740.11685876,103940.686021682,PROPHET
All,CA,2020-02,,1181315.51672066,1169449.87418047,1193254.0827168,103940.686021682,PROPHET
All,CO,2019-01,112913,112913.046692613,112906.588624576,112919.595989602,180.395459459,PROPHET
All,CO,2019-02,112969,112968.849884449,112962.658605148,112974.74852525,180.395459459,PROPHET
All,CO,2019-03,112282,112282.103401602,112275.80374344,112288.700288713,180.395459459,PROPHET
All,CO,2019-04,111779,111779.096557881,111772.797692192,111785.463311361,180.395459459,PROPHET
All,CO,2019-05,111791,111790.810027961,111784.026749565,111796.89980733,180.395459459,PROPHET
All,CO,2019-06,111670,111670.189961613,111663.616542475,111676.720414797,180.395459459,PROPHET
All,CO,2019-07,111606,111605.810049481,111599.686152343,111612.026214995,180.395459459,PROPHET
All,CO,2019-08,109232,109232.186840606,109226.172592058,109238.520158455,180.395459459,PROPHET
All,CO,2019-09,109200,109207.924099438,109201.512581658,109214.0162496,180.395459459,PROPHET
All,CO,2019-10,109009,109001.91478802,108995.4602924,109008.064097263,180.395459459,PROPHET
All,CO,2019-11,108799,108789.038499554,108782.221271566,108795.118829144,180.395459459,PROPHET
All,CO,2019-12,108574,108583.029188136,108576.665812258,108589.192187422,180.395459459,PROPHET
All,CO,2020-01,,108370.152899671,107956.377898164,108805.244322307,180.395459459,PROPHET
All,CO,2020-02,,108157.276611206,106541.512982603,109820.179762802,180.395459459,PROPHET
All,CT,2019-01,69951,69948.904346718,69915.572982456,69984.439276013,142.877067043,PROPHET
All,CT,2019-02,69562,69564.095617405,69530.06558812,69596.502397287,142.877067043,PROPHET
All,CT,2019-03,69312,69311.999655897,69280.026733159,69347.865579015,142.877067043,PROPHET
All,CT,2019-04,69111,69115.329148731,69081.700425331,69149.144372317,142.877067043,PROPHET
All,CT,2019-05,69392,69387.671405523,69354.212124441,69422.197589209,142.877067043,PROPHET
All,CT,2019-06,69579,69578.999330131,69545.116029063,69611.617152595,142.877067043,PROPHET
All,CT,2019-07,68687,68682.809360099,68651.177219298,68715.729217985,142.877067043,PROPHET
All,CT,2019-08,66946,66954.381786825,66920.269849306,66987.556958046,142.877067043,PROPHET
All,CT,2019-09,66918,66953.899906089,66921.821386491,66986.893103568,142.877067043,PROPHET
All,CT,2019-10,66883,66849.923422793,66816.2723433,66881.362797332,142.877067043,PROPHET
All,CT,2019-11,66799,66742.481056721,66710.992862736,66777.397172285,142.877067043,PROPHET
All,CT,2019-12,66589,66638.504573425,66605.483661942,66669.451089833,142.877067043,PROPHET
All,CT,2020-01,,66531.062207353,66249.611568123,66821.356726706,142.877067043,PROPHET
All,CT,2020-02,,66423.61984128,65320.881752604,67714.969314288,142.877067043,PROPHET
All,DC,2019-01,24113,24235.704577693,23706.803839584,24774.109644238,513.096573276,PROPHET
All,DC,2019-02,24111,23745.293256309,23221.263548429,24233.187207139,513.096573276,PROPHET
All,DC,2019-03,24219,23302.341092853,22763.977452261,23824.735572821,513.096573276,PROPHET
All,DC,2019-04,21917,22811.929767527,22333.177992492,23338.263704702,513.096573276,PROPHET
All,DC,2019-05,21999,22337.350748013,21809.919048939,22843.906724393,513.096573276,PROPHET
All,DC,2019-06,22006,22206.816070648,21647.038529722,22734.994061482,513.096573276,PROPHET
All,DC,2019-07,22126,22081.898392791,21534.498446876,22578.161435732,513.096573276,PROPHET
All,DC,2019-08,22045,21953.478608188,21391.486765602,22497.566820849,513.096573276,PROPHET
All,DC,2019-09,21652,21825.245390567,21301.055200934,22290.398015198,513.096573276,PROPHET
All,DC,2019-10,21710,21701.283350171,21182.358289775,22253.723705617,513.096573276,PROPHET
All,DC,2019-11,21679,21573.189241762,21061.478061439,22080.539656465,513.096573276,PROPHET
All,DC,2019-12,21647,21449.227201366,20902.852119011,21970.937123022,513.096573276,PROPHET
All,DC,2020-01,,21321.133092957,20802.267538613,21870.294257682,513.096573276,PROPHET
All,DC,2020-02,,21193.038984548,20672.217266917,21725.834531908,513.096573276,PROPHET
All,DE,2019-01,27722,27720.650274924,27704.476638423,27738.861357991,149.639008463,PROPHET
All,DE,2019-02,27757,27761.33712459,27744.330670499,27776.556310691,149.639008463,PROPHET
All,DE,2019-03,27822,27816.315456594,27799.075799446,27832.447970724,149.639008463,PROPHET
All,DE,2019-04,27643,27645.697917478,27628.1814909,27661.712523072,149.639008463,PROPHET
All,DE,2019-05,27577,27579.697238991,27562.765935329,27596.431970601,149.639008463,PROPHET
All,DE,2019-06,27574,27571.301392189,27554.871960863,27588.737900665,149.639008463,PROPHET
All,DE,2019-07,27549,27549.000586669,27534.112749724,27566.211965187,149.639008463,PROPHET
All,DE,2019-08,27443,27440.304076842,27422.971118031,27457.509710471,149.639008463,PROPHET
All,DE,2019-09,27327,27321.138289024,27304.7861035,27337.38571672,149.639008463,PROPHET
All,DE,2019-10,27273,27302.04125176,27285.596869713,27318.134290661,149.639008463,PROPHET
All,DE,2019-11,27314,27282.307646586,27265.339348185,27298.619638606,149.639008463,PROPHET
All,DE,2019-12,27252,27263.210609322,27245.861420264,27279.360360463,149.639008463,PROPHET
All,DE,2020-01,,27243.477004149,27194.9006241,27293.120205221,149.639008463,PROPHET
All,DE,2020-02,,27223.743398976,27052.569615285,27375.918495052,149.639008463,PROPHET
All,FL,2019-01,611393,611692.14007869,610535.119491638,612829.899105537,4422.956573791,PROPHET
All,FL,2019-02,615028,614457.922241115,613315.242580926,615608.466008045,4422.956573791,PROPHET
All,FL,2019-03,613961,614070.516081217,612872.128953611,615234.644249295,4422.956573791,PROPHET
All,FL,2019-04,613448,613641.602131333,612456.193948215,614832.053417587,4422.956573791,PROPHET
All,FL,2019-05,613087,613227.39410377,612091.022767635,614469.719487671,4422.956573791,PROPHET
All,FL,2019-06,612768,612799.379215516,611635.437348302,613941.19085311,4422.956573791,PROPHET
All,FL,2019-07,613178,612385.171208242,611239.453259633,613514.462475166,4422.956573791,PROPHET
All,FL,2019-08,610325,611502.368665687,610376.612840291,612685.063596218,4422.956573791,PROPHET
All,FL,2019-09,609852,610675.692306585,609539.067573385,612043.139818292,4422.956573791,PROPHET
All,FL,2019-10,610197,608666.298170632,607439.829300082,609795.115036898,4422.956573791,PROPHET
All,FL,2019-11,608065,606589.924230148,605460.256813447,607841.617430535,4422.956573791,PROPHET
All,FL,2019-12,602987,604580.530094195,603393.8073616,605797.136631079,4422.956573791,PROPHET
All,FL,2020-01,,602504.15615371,601290.406714926,603792.284672027,4422.956573791,PROPHET
All,FL,2020-02,,600427.782213226,598854.960276442,602243.647864518,4422.956573791,PROPHET
All,GA,2019-01,467152,467041.051835181,466410.709810287,467693.699989976,2924.968793963,PROPHET
All,GA,2019-02,465717,465815.48667605,465130.667081589,466438.06448255,2924.968793963,PROPHET
All,GA,2019-03,464706,464720.039819173,464087.41796639,465317.520965248,2924.968793963,PROPHET
All,GA,2019-04,463759,463981.980811399,463329.203690435,464665.24046308,2924.968793963,PROPHET
All,GA,2019-05,463617,463380.639504577,462736.839707589,464014.418508505,2924.968793963,PROPHET
All,GA,2019-06,462707,462759.25328638,462067.730216938,463401.50121317,2924.968793963,PROPHET
All,GA,2019-07,462440,462153.477330789,461495.920734451,462778.496336393,2924.968793963,PROPHET
All,GA,2019-08,459173,459662.799605626,458982.952794417,460329.293944592,2924.968793963,PROPHET
All,GA,2019-09,458576,459069.598569651,458424.542006895,459740.611975457,2924.968793963,PROPHET
All,GA,2019-10,457359,456721.371699778,456056.289498561,457384.558941533,2924.968793963,PROPHET
All,GA,2019-11,455360,454294.870600909,453616.77616424,454924.896859439,2924.968793963,PROPHET
All,GA,2019-12,450981,451946.643731035,451232.685119029,452607.082884821,2924.968793963,PROPHET
All,GA,2020-01,,449520.142632166,448721.53951746,450403.710033219,2924.968793963,PROPHET
All,GA,2020-02,,447093.641533297,445624.414633499,448869.962302593,2924.968793963,PROPHET
All,HI,2019-01,13150,13148.860973792,13132.087709985,13165.703519801,159.511325346,PROPHET
All,HI,2019-02,13099,13104.685050479,13086.395836638,13120.634005736,159.511325346,PROPHET
All,HI,2019-03,13075,13064.784216809,13047.989100623,13080.143629515,159.511325346,PROPHET
All,HI,2019-04,13009,13020.228199811,13003.520549229,13038.356204647,159.511325346,PROPHET
All,HI,2019-05,13025,13019.442007669,13004.61797146,13036.826357048,159.511325346,PROPHET
All,HI,2019-06,12972,12971.993912143,12956.323045594,12987.879018864,159.511325346,PROPHET
All,HI,2019-07,12888,12882.567898202,12866.697622171,12898.807660893,159.511325346,PROPHET
All,HI,2019-08,12755,12760.429326649,12745.447510854,12776.864314535,159.511325346,PROPHET
All,HI,2019-09,12800,12779.230133341,12762.888854652,12796.072617566,159.511325346,PROPHET
All,HI,2019-10,12793,12817.979136203,12802.012105629,12834.984745477,159.511325346,PROPHET
All,HI,2019-11,12843,12858.019772495,12841.95170213,12874.489044802,159.511325346,PROPHET
All,HI,2019-12,12916,12896.768775357,12881.203929842,12913.177023625,159.511325346,PROPHET
All,HI,2020-01,,12936.809411648,12906.718790825,12965.585286984,159.511325346,PROPHET
All,HI,2020-02,,12976.850047939,12886.89822622,13059.992191016,159.511325346,PROPHET
All,IA,2019-01,44295,38339.837220147,26387.150542593,50832.939314916,55987.998938565,PROPHET
All,IA,2019-02,44385,43432.551253936,31504.399739777,55803.77556123,55987.998938565,PROPHET
All,IA,2019-03,44660,48032.421996469,35846.507982504,59719.736013918,55987.998938565,PROPHET
All,IA,2019-04,45546,53125.136024048,39777.497400535,65476.409649506,55987.998938565,PROPHET
All,IA,2019-05,47949,58053.568965094,44657.339645079,70810.676731399,55987.998938565,PROPHET
All,IA,2019-06,48822,63146.282999361,51170.635287588,76552.794446186,55987.998938565,PROPHET
All,IA,2019-07,89871,68074.715935635,55741.147317806,80223.643988712,55987.998938565,PROPHET
All,IA,2019-08,84688,73167.429964535,61276.776372054,85363.572224927,55987.998938565,PROPHET
All,IA,2019-09,84516,78260.14397874,65816.763197236,90554.356950949,55987.998938565,PROPHET
All,IA,2019-10,84523,83188.576901601,70133.676341706,95159.4157338,55987.998938565,PROPHET
All,IA,2019-11,84517,88281.290921892,74892.34911118,101378.580066661,55987.998938565,PROPHET
All,IA,2019-12,84551,93209.723844753,80760.3891686,106095.343932387,55987.998938565,PROPHET
All,IA,2020-01,,98302.437865044,86208.072235451,110342.929443217,55987.998938565,PROPHET
All,IA,2020-02,,103395.151885334,90537.442401737,115936.337823255,55987.998938565,PROPHET
All,ID,2019-01,60488,60481.50079917,60427.599501116,60534.988925881,99.417636729,PROPHET
All,ID,2019-02,59864,59870.504507195,59815.026438933,59926.177469122,99.417636729,PROPHET
All,ID,2019-03,59363,59371.36461909,59314.071090227,59423.700311433,99.417636729,PROPHET
All,ID,2019-04,58958,58953.766902921,58901.890646185,59009.379359669,99.417636729,PROPHET
All,ID,2019-05,58561,58549.640079872,58494.7856951,58601.580934003,99.417636729,PROPHET
All,ID,2019-06,58072,58087.318971074,58035.394603505,58141.61319269,99.417636729,PROPHET
All,ID,2019-07,57661,57639.91144501,57587.115062811,57697.561888999,99.417636729,PROPHET
All,ID,2019-08,56044,56056.659158604,56003.128734773,56110.339975287,99.417636729,PROPHET
All,ID,2019-09,55427,55478.170126497,55420.744583088,55533.554558153,99.417636729,PROPHET
All,ID,2019-10,54940,54921.299461253,54867.567823037,54977.741592323,99.417636729,PROPHET
All,ID,2019-11,54455,54345.866440501,54281.409607196,54404.031662761,99.417636729,PROPHET
All,ID,2019-12,53712,53788.995775256,53734.471879764,53843.457922672,99.417636729,PROPHET
All,ID,2020-01,,53213.562754504,53080.330585352,53383.68812415,99.417636729,PROPHET
All,ID,2020-02,,52638.129733752,52087.561834101,53217.238630827,99.417636729,PROPHET
All,IL,2019-01,719742,717322.891736234,712373.335827075,722090.732782433,29324.401763954,PROPHET
All,IL,2019-02,717085,718625.529406104,713465.044154724,723306.643541826,29324.401763954,PROPHET
All,IL,2019-03,718073,719802.106355,714978.723525777,724519.692290842,29324.401763954,PROPHET
All,IL,2019-04,720331,721111.235437008,715925.982608265,725973.389890364,29324.401763954,PROPHET
All,IL,2019-05,722135,722378.223211129,717666.018265239,727207.665853583,29324.401763954,PROPHET
All,IL,2019-06,722879,723687.443944996,719028.227057663,728609.318910112,29324.401763954,PROPHET
All,IL,2019-07,728079,724954.431778222,719898.363052195,729980.888488216,29324.401763954,PROPHET
All,IL,2019-08,724761,726249.124588141,721109.875827433,731316.006231164,29324.401763954,PROPHET
All,IL,2019-09,724931,727538.998016833,722589.464557824,732550.511361007,29324.401763954,PROPHET
All,IL,2019-10,726393,722729.291027594,717715.538373314,727478.244504707,29324.401763954,PROPHET
All,IL,2019-11,725787,717759.260472046,712747.613446713,722539.558326705,29324.401763954,PROPHET
All,IL,2019-12,704902,712949.553482807,708095.659882924,718115.489581837,29324.401763954,PROPHET
All,IL,2020-01,,707979.52292726,703400.418776346,712645.892071689,29324.401763954,PROPHET
All,IL,2020-02,,703009.492371712,697603.928805592,708393.723522131,29324.401763954,PROPHET
All,IN,2019-01,278971,278959.277383006,278801.50628012,279120.513078859,620.304018373,PROPHET
All,IN,2019-02,278977,279002.535247187,278836.520593814,279152.262338419,620.304018373,PROPHET
All,IN,2019-03,279118,279115.214581013,278971.530160837,279271.422127506,620.304018373,PROPHET
All,IN,2019-04,279251,279239.966696276,279088.259515059,279393.237341043,620.304018373,PROPHET
All,IN,2019-05,279338,279337.431487155,279174.695672065,279501.823458461,620.304018373,PROPHET
All,IN,2019-06,279080,279081.16389914,278934.466337663,279250.744929231,620.304018373,PROPHET
All,IN,2019-07,278851,278826.84257936,278669.985527317,278983.619571487,620.304018373,PROPHET
All,IN,2019-08,277208,277251.425897703,277080.319851251,277396.731092864,620.304018373,PROPHET
All,IN,2019-09,276860,277019.597199207,276866.424719624,277184.406292151,620.304018373,PROPHET
All,IN,2019-10,277149,276794.061694303,276637.962769259,276955.463836226,620.304018373,PROPHET
All,IN,2019-11,276392,276561.008339236,276412.108282538,276726.673257626,620.304018373,PROPHET
All,IN,2019-12,276329,276335.472834333,276168.532802704,276499.071943196,620.304018373,PROPHET
All,IN,2020-01,,276102.419479266,275825.186333379,276355.592282388,620.304018373,PROPHET
All,IN,2020-02,,275869.366124199,275094.850029567,276646.6987007,620.304018373,PROPHET
All,KS,2019-01,50110,50335.792031399,49606.766317765,51084.986844947,1257.160267891,PROPHET
All,KS,2019-02,49727,49953.339539505,49172.396555878,50712.88694586,1257.160267891,PROPHET
All,KS,2019-03,49743,49607.898584444,48872.754667061,50371.76335348,1257.160267891,PROPHET
All,KS,2019-04,49266,49225.446102725,48495.414720923,49976.698263439,1257.160267891,PROPHET
All,KS,2019-05,49152,48855.187845501,48166.43189958,49589.88915148,1257.160267891,PROPHET
All,KS,2019-06,49054,48471.754396641,47685.15919682,49211.810182322,1257.160267891,PROPHET
All,KS,2019-07,49148,48100.171444602,47371.417707667,48844.794621696,1257.160267891,PROPHET
All,KS,2019-08,46444,47716.202380577,46943.383009306,48424.438959701,1257.160267891,PROPHET
All,KS,2019-09,46649,47333.020779222,46523.239238322,48087.881127092,1257.160267891,PROPHET
All,KS,2019-10,46670,46962.846220687,46214.809111851,47740.521457089,1257.160267891,PROPHET
All,KS,2019-11,46669,46580.332510201,45841.747608773,47327.0461183,1257.160267891,PROPHET
All,KS,2019-12,46722,46210.157951667,45475.116454694,46970.818397418,1257.160267891,PROPHET
All,KS,2020-01,,45827.644241181,45080.051807553,46507.942379203,1257.160267891,PROPHET
All,KS,2020-02,,45445.130530695,44727.256912146,46221.390367613,1257.160267891,PROPHET
All,KY,2019-01,216414,216447.465533883,216223.950365819,216680.042207868,1325.956035145,PROPHET
All,KY,2019-02,216037,216003.531993988,215763.768200351,216236.150132562,1325.956035145,PROPHET
All,KY,2019-03,215641,215574.046191597,215345.128754702,215814.502295012,1325.956035145,PROPHET
All,KY,2019-04,214867,215003.136378101,214761.788074572,215225.122037494,1325.956035145,PROPHET
All,KY,2019-05,215119,215049.813459223,214806.703047609,215260.091308862,1325.956035145,PROPHET
All,KY,2019-06,214926,214926.000184746,214697.832133649,215155.2435909,1325.956035145,PROPHET
All,KY,2019-07,214635,214568.045628686,214328.840673842,214785.810692642,1325.956035145,PROPHET
All,KY,2019-08,212913,213046.908854218,212809.55346196,213279.804861772,1325.956035145,PROPHET
All,KY,2019-09,212496,212741.398047759,212505.574756925,212969.19633381,1325.956035145,PROPHET
All,KY,2019-10,212567,212049.659593764,211822.251100945,212272.010259628,1325.956035145,PROPHET
All,KY,2019-11,211265,211334.863191302,211091.198995958,211567.908031064,1325.956035145,PROPHET
All,KY,2019-12,210508,210643.124737307,210387.913868756,210884.161064286,1325.956035145,PROPHET
All,KY,2020-01,,209928.328334845,209558.331180567,210255.446308409,1325.956035145,PROPHET
All,KY,2020-02,,209213.531932383,208218.307399325,210338.15675377,1325.956035145,PROPHET
All,LA,2019-01,136154,136135.644492264,135998.604782345,136272.249811545,1272.843032077,PROPHET
All,LA,2019-02,135984,136042.97571547,135915.06769245,136178.861643064,1272.843032077,PROPHET
All,LA,2019-03,136227,136149.701899021,136006.107767341,136281.412795289,1272.843032077,PROPHET
All,LA,2019-04,132878,132952.583980718,132816.843823311,133092.55990742,1272.843032077,PROPHET
All,LA,2019-05,132554,132479.40309607,132348.650469119,132626.150345089,1272.843032077,PROPHET
All,LA,2019-06,131790,131826.685033256,131692.814788214,131965.064103756,1272.843032077,PROPHET
All,LA,2019-07,131523,131523.002561914,131387.040528859,131654.641442212,1272.843032077,PROPHET
All,LA,2019-08,131555,131591.686647679,131464.818979,131721.384731288,1272.843032077,PROPHET
All,LA,2019-09,132086,132211.251222866,132072.5376988,132341.351840189,1272.843032077,PROPHET
All,LA,2019-10,131858,131705.752591046,131563.529591722,131839.585791031,1272.843032077,PROPHET
All,LA,2019-11,131384,131183.404004831,131041.459022868,131316.056564466,1272.843032077,PROPHET
All,LA,2019-12,130487,130677.905373011,130551.369547885,130820.700573768,1272.843032077,PROPHET
All,LA,2020-01,,130155.556786797,129605.673001892,130748.382659117,1272.843032077,PROPHET
All,LA,2020-02,,129633.208200583,127329.943134201,131996.869019813,1272.843032077,PROPHET
All,MA,2019-01,52134,52070.58887893,51906.441404435,52230.147872334,611.384538518,PROPHET
All,MA,2019-02,51768,51852.992789024,51702.335644013,52002.781647863,611.384538518,PROPHET
All,MA,2019-03,51747,51704.914917961,51538.242805593,51852.233416877,611.384538518,PROPHET
All,MA,2019-04,51453,51542.443758413,51392.946924948,51703.011029998,611.384538518,PROPHET
All,MA,2019-05,51490,51482.073996846,51315.936832199,51630.646328068,611.384538518,PROPHET
All,MA,2019-06,51482,51419.691907606,51249.740230969,51576.521360068,611.384538518,PROPHET
All,MA,2019-07,51461,51336.631657924,51176.695793423,51497.331124399,611.384538518,PROPHET
All,MA,2019-08,50365,50619.628955761,50461.998963889,50781.952216147,611.384538518,PROPHET
All,MA,2019-09,50477,50501.002944244,50349.197472045,50668.648728979,611.384538518,PROPHET
All,MA,2019-10,50604,50383.477620571,50224.478164103,50537.440395643,611.384538518,PROPHET
All,MA,2019-11,50345,50262.034786109,50102.272190058,50419.24713079,611.384538518,PROPHET
All,MA,2019-12,49994,50144.509462436,49998.742687893,50308.622678921,611.384538518,PROPHET
All,MA,2020-01,,50023.066627974,49827.412473833,50216.432258658,611.384538518,PROPHET
All,MA,2020-02,,49901.623793512,49580.912798858,50255.739279263,611.384538518,PROPHET
