MONTHS,PROVIDERNAME,SPECIALITY,STATE,IP_INDICATOR,LOB,PRICEPM,MEMBER_COUNT
2019-10,Affinity Health Care LLC,Clinic/Center,VA,O,Medicare,383.01,2
2019-10,Affinity Immediate Care,Clinic/Center,TX,O,Medicare,412.19,3
2019-10,Affordable Urgent Care Clinic,Clinic/Center,MS,O,Commercial,99.43,1
2019-10,After Hours Pediatric Urgent Care,Clinic/Center,CA,O,Medicare,107.49,1
2019-10,After Hours Pediatrics,Clinic/Center,MD,O,Medicare,3201.52,19
2019-10,Agape Family Medicine Clinic,Clinic/Center,TX,O,Commercial,75.62,1
2019-10,Agoura Hills Health Care,Clinic/Center,CA,O,Commercial,104.88,1
2019-10,Ahc Lincoln School Wildcat Health Ext.,Clinic/Center,MI,O,Medicare,138.37,2
2019-10,Ahmed Medical Corp.,Clinic/Center,CA,O,Commercial,70.39,1
2019-10,"Ahmed Mekkawy, M.D., P.A.",Clinic/Center,NJ,O,Commercial,361.95,4
2019-10,Aia Wellness Center,Clinic/Center,NJ,O,Commercial,373.32,3
2019-10,Aia Wellness Center,Clinic/Center,NJ,O,Medicare,635.06,1
2019-10,Aiken Center For Family Health LLC,Clinic/Center,SC,O,Commercial,65.56,1
2019-10,Alamo Navajo Health Center,Clinic/Center,NM,O,Commercial,114.50,1
2019-10,Alamo Navajo Health Center,Clinic/Center,NM,O,Medicare,2216.24,32
2019-10,Albany Area Laboratory,Clinic/Center,GA,O,Commercial,780.89,7
2019-10,Albany Area Laboratory,Clinic/Center,GA,O,Medicare,4985.94,39
2019-10,Albuquerque Health Care For The Homeless,Clinic/Center,NM,O,Medicare,2442.34,16
2019-10,Alcona Health Centers-Lincoln,Clinic/Center,MI,O,Medicare,849.79,6
2019-10,Alcona Health Centers-Oscoda,Clinic/Center,MI,O,Commercial,284.00,3
2019-10,Alcona Health Ctrs-Ob Services,Clinic/Center,MI,O,Commercial,1045.95,5
2019-10,Alex R. Pavon MD PC,Clinic/Center,NJ,O,Commercial,904.02,4
2019-10,Alexandria Immediate Care,Clinic/Center,VA,O,Commercial,134.18,1
2019-10,Alisal Health Center,Clinic/Center,CA,O,Commercial,837.62,5
2019-10,Alivio Medical Center-Cicero Clinic,Clinic/Center,IL,O,Commercial,469.09,3
2019-10,Alivio Medical Center-Cicero Clinic,Clinic/Center,IL,O,Medicare,1232.35,12
2019-10,All For Health Health For All Inc.,Clinic/Center,CA,O,Medicare,102.84,2
2019-10,All Your Family Needs Primary Care LLC,Clinic/Center,NJ,O,Commercial,157.54,2
2019-10,Allcare Clinic,Clinic/Center,FL,O,Commercial,69.67,1
2019-10,Allegany Family Health,Clinic/Center,MD,O,Commercial,88.50,1
2019-10,Allen Friends & Family Clinic,Clinic/Center,TX,O,Commercial,123.89,1
2019-10,Allen Health Clinic LLC,Clinic/Center,OK,O,Commercial,182.10,2
2019-10,Alliance Med Ctr-Healdsburg Dental Clnc.,Clinic/Center,CA,O,Commercial,40.36,1
2019-10,Alliance Med Ctr-Healdsburg Dental Clnc.,Clinic/Center,CA,O,Medicare,4482.21,59
2019-10,Alma Illery Medical Center,Clinic/Center,PA,O,Medicare,835.88,7
2019-10,Alpha Pregnancy Resource Center,Clinic/Center,CA,O,Medicare,1256.77,2
2019-10,Alpha Primary Care LLC,Clinic/Center,TX,O,Medicare,0.00,3
2019-10,Altamed Medical Group Eapc Prop. 99,Clinic/Center,CA,O,Commercial,1785.52,4
2019-10,Alton Memorial Physician Billing Services LLC,Clinic/Center,IL,O,Commercial,250.94,3
2019-10,Alvaro Pena MD,Clinic/Center,IL,O,Commercial,161.74,1
2019-10,Amanda Cohen,Clinic/Center,CA,O,Commercial,22379.28,4
2019-10,Ambulatory Care Clinic of Ionia PC,Clinic/Center,MI,O,Commercial,218.08,2
2019-10,American Chinese Medical Center PC,Clinic/Center,MA,O,Commercial,279.74,1
2019-10,Amit Agarwal MD PC,Clinic/Center,NJ,O,Commercial,906.96,3
2019-10,Ammonoosuc Community Health Services,Clinic/Center,NH,O,Medicare,713.10,5
2019-10,Ammonoosuc Community Health-Franconia,Clinic/Center,NH,O,Medicare,488.15,1
2019-10,Andover Family Medicine LLC,Clinic/Center,KS,O,Commercial,281.22,1
2019-10,"Anjani Amin MD, Pa",Clinic/Center,TX,O,Commercial,696.90,5
2019-10,Anna Chernyak MD LLC,Clinic/Center,NJ,O,Commercial,487.43,3
2019-10,Anna Chernyak MD LLC,Clinic/Center,NJ,O,Medicare,180.92,1
2019-10,Annandale Family Practice LLC,Clinic/Center,NJ,O,Commercial,858.35,8
2019-10,Annandale Family Practice LLC,Clinic/Center,NJ,O,Medicare,1662.55,3
2019-10,Annapolis Family Medicine LLC,Clinic/Center,MD,O,Commercial,367.04,1
2019-10,Anova Family Health Center Inc.,Clinic/Center,ND,O,Commercial,173.08,1
2019-10,Apex Family Medical Clinic P.A.,Clinic/Center,AR,O,Commercial,608.57,5
2019-10,Apex Pediatrics Pa,Clinic/Center,FL,O,Medicare,180.33,1
2019-10,Apollo Mens Health,Clinic/Center,TX,O,Commercial,542.56,1
2019-10,Appalachia Family Health Center,Clinic/Center,VA,O,Medicare,360.77,3
2019-10,"Arbuckle Family Health Aprn-CNP, LLC",Clinic/Center,OK,O,Commercial,517.74,3
2019-10,Arcare,Clinic/Center,AR,O,Commercial,231.91,3
2019-10,Ardas Family Medicine,Clinic/Center,CO,O,Commercial,328.95,2
2019-10,Arkansas Verdigris Valley Health Centers,Clinic/Center,OK,O,Commercial,179.42,1
2019-10,Art of Optometry Ltd.,Clinic/Center,WI,O,Commercial,396.07,1
2019-10,Artesia Family Behavioral Health Center,Clinic/Center,NM,O,Commercial,478.17,2
2019-10,Artesia Family Behavioral Health Center,Clinic/Center,NM,O,Medicare,2321.67,19
2019-10,Arthur J. Gore M D Pa,Clinic/Center,TX,O,Commercial,101.77,1
2019-10,Asclepeion Primary Care,Clinic/Center,VA,O,Medicare,200.14,1
2019-10,Ashburn Sterling Doctors,Clinic/Center,VA,O,Commercial,152.55,1
2019-10,Asian Health Services,Clinic/Center,CA,O,Commercial,1529.64,3
2019-10,Aspen Childrens Clinic of Broken Arrow Inc.,Clinic/Center,OK,O,Commercial,726.33,5
2019-10,Associated Physicians of Libertyville,Clinic/Center,IL,O,Commercial,212.66,2
2019-10,Atlanticare Health Services,Clinic/Center,NJ,O,Commercial,173.02,1
2019-10,Atlanticare Mission Health Services,Clinic/Center,NJ,O,Medicare,194.86,2
2019-10,Aunt Marthas Health Center,Clinic/Center,IL,O,Medicare,718.39,11
2019-10,Aunt Marthas Health Center In Aurora,Clinic/Center,IL,O,Medicare,2811.63,41
2019-10,Aunt Marthas Health Center West Joliet,Clinic/Center,IL,O,Medicare,761.70,7
2019-10,Austin Health Center of Cook County,Clinic/Center,IL,O,Commercial,74.51,1
2019-10,Austin Health Center of Cook County,Clinic/Center,IL,O,Medicare,2018.60,17
2019-10,Ava Medical Group,Clinic/Center,CA,O,Commercial,584.73,2
2019-10,Axess Pointe Barberton,Clinic/Center,OH,O,Medicare,39.18,1
2019-10,Baart Community Healthcare,Clinic/Center,CA,O,Medicare,75.88,1
2019-10,Babi Pediatrics PC Dba Peds459,Clinic/Center,AL,O,Commercial,274.16,2
2019-10,Balanced Life Chiropractic LLC,Clinic/Center,VA,O,Commercial,377.94,1
2019-10,Ballard Family Medicine,Clinic/Center,AL,O,Commercial,219.30,1
2019-10,Banner Primary Care Physicians Arizona LLC,Clinic/Center,AZ,O,Commercial,308.96,3
2019-10,Banyan Community Health Care,Clinic/Center,FL,O,Medicare,487.86,18
2019-10,Banyan Community Health-27TH Ave.,Clinic/Center,FL,O,Medicare,0.00,3
2019-10,Baptist Health Center Perryville,Clinic/Center,AR,O,Commercial,155.59,1
2019-10,Baptist Health Family Clinic White Hall,Clinic/Center,AR,O,Commercial,632.94,3
2019-10,Baptist Health Family Clinic-Bismarck,Clinic/Center,AR,O,Commercial,219.04,2
2019-10,Baptist Health Family Clinic-Bismarck,Clinic/Center,AR,O,Medicare,,1
2019-10,Baptist Health Family Clinic-Caddo Valley,Clinic/Center,AR,O,Commercial,610.92,2
2019-10,Bash Family Practice,Clinic/Center,PA,O,Commercial,115.56,1
2019-10,Bay Springs Medical Clinic,Clinic/Center,MS,O,Commercial,254.47,3
2019-10,Bedford Family Wellness,Clinic/Center,PA,O,Commercial,122.07,1
2019-10,Bedford Medical Family Health Center,Clinic/Center,NY,O,Medicare,48.81,1
2019-10,Behavioral Health at Lake Aire Medical Center,Clinic/Center,TX,O,Medicare,28.30,1
2019-10,Behzad Farah MD Sc,Clinic/Center,IL,O,Commercial,164.28,1
2019-10,Behzad Farah MD Sc,Clinic/Center,IL,O,Medicaid,94.15,1
2019-10,Behzad Farah MD Sc,Clinic/Center,IL,O,Medicare,215.26,2
2019-10,Bellaire Family Health Center,Clinic/Center,MI,O,Medicare,100.91,1
2019-10,"Belle B. Almojera, M.D., LLC",Clinic/Center,FL,O,Medicare,73.07,1
2019-10,Bellmead Community Clinic,Clinic/Center,TX,O,Medicaid,146.68,2
2019-10,Bellmead Community Clinic,Clinic/Center,TX,O,Medicare,5893.79,48
2019-10,Beloved Community Family Wellness Center,Clinic/Center,IL,O,Commercial,535.12,5
2019-10,Beloved Community Family Wellness Center,Clinic/Center,IL,O,Medicare,1718.03,17
2019-10,Ben Archer Health Care-Radium Springs,Clinic/Center,NM,O,Medicare,5505.68,45
2019-10,Bendito Pediatrics Inc.,Clinic/Center,CA,O,Commercial,535.38,3
2019-10,Bennie R. White Junior MD Inc.,Clinic/Center,GA,O,Commercial,361.86,3
2019-10,Berkshire Medicine Inc.,Clinic/Center,MA,O,Commercial,135.99,1
2019-10,"Bethesda Breastfeeding, LLC",Nurse Practitioner,MD,O,Commercial,141.54,1
2019-10,Beverly Knigge Medical Sc,Nurse Practitioner,IL,O,Commercial,204.29,1
2019-10,Big Valley Health Center,Clinic/Center,CA,O,Medicare,642.67,9
2019-10,Black Diamond Medical LLC,Nurse Practitioner,AZ,O,Commercial,72.66,1
2019-10,Block Nation Chase Smolen Family Medicine Inc.,Clinic/Center,FL,O,Commercial,113.11,1
2019-10,Blue Ridge Internal Medicine,Clinic/Center,VA,O,Commercial,553.78,1
2019-10,Boca Raton Community Hospital After,Clinic/Center,FL,O,Commercial,51.30,1
2019-10,Bolinas Community Health Center,Clinic/Center,CA,O,Medicare,356.42,7
2019-10,Bon Secours Hospital Community Medical Care,Clinic/Center,PA,O,Commercial,199.84,2
2019-10,Bon Secours Short Pump Primary Care,Clinic/Center,VA,O,Commercial,367.78,2
2019-10,Bon Secours Short Pump Primary Care,Clinic/Center,VA,O,Medicare,537.64,5
2019-10,Boone County Hospital,Clinic/Center,IA,O,Medicare,726.19,7
2019-10,Boriken Neighborhood Health Center,Clinic/Center,NY,O,Commercial,1160.70,4
2019-10,Boriken Neighborhood Health Center,Clinic/Center,NY,O,Medicare,8263.75,40
2019-10,Borrego Medical Clinic,Clinic/Center,CA,O,Commercial,397.56,1
2019-10,Borrego Medical Clinic,Clinic/Center,CA,O,Medicare,3250.93,11
2019-10,Boston Mountain Rural Health Center Inc.,Clinic/Center,AR,O,Commercial,99.33,1
2019-10,Boulder Primary Care Inc.,Nurse Practitioner,NV,O,Commercial,67.30,1
2019-10,Bowers Family Medicine,Clinic/Center,GA,O,Commercial,184.51,2
2019-10,Bowery Residents Cmmte. Project Rescue,Clinic/Center,NY,O,Medicare,3616.52,3
2019-10,Bradford Family Physicians LLC,Clinic/Center,DE,O,Medicaid,566.78,2
2019-10,Bray Family Medicine PLLC,Clinic/Center,AR,O,Commercial,373.45,3
2019-10,Brevard Health Alliance,Clinic/Center,FL,O,Medicare,108.84,2
2019-10,Brewer Chiropractic LLC,Clinic/Center,AZ,O,Commercial,100.10,1
2019-10,Bridlewood Family Healthcare,Clinic/Center,TX,O,Commercial,297.22,1
2019-10,Britt Family Medicine,Clinic/Center,IN,O,Commercial,356.53,5
2019-10,Broadway Medical Clinic Lab,Clinic/Center,OR,O,Commercial,285.99,2
2019-10,Brockton Neighborhood Hlth-Mainspring,Clinic/Center,MA,O,Commercial,218.36,1
2019-10,Brookhaven Health and Wellness,Clinic/Center,MS,O,Commercial,229.13,1
2019-10,Bryant Family Managed Care,Nurse Practitioner,AR,O,Commercial,110.71,1
2019-10,Buchanan General Hospital,Clinic/Center,VA,O,Medicare,6066.95,2
2019-10,Burgos Fuentes Service Corp.,Clinic/Center,IL,O,Commercial,194.77,1
2019-10,Burlington City Health Center,Clinic/Center,NJ,O,Commercial,105.27,2
2019-10,Burlington City Health Center,Clinic/Center,NJ,O,Medicare,4971.80,24
2019-10,Byrd Medical Associates LLC,Clinic/Center,SC,O,Commercial,85.75,1
2019-10,Byron Care Connect Convenient Care,Clinic/Center,GA,O,Commercial,182.47,2
2019-10,Byron Care Connect Convenient Care,Clinic/Center,GA,O,Medicare,56.03,1
2019-10,C. Tucker Joustra Family Practice Inc.,Clinic/Center,MO,O,Commercial,91.41,1
2019-10,"C. W. Hsu, MD Inc.",Clinic/Center,OK,O,Commercial,115.08,1
2019-10,C. W. Williams Community Health Center,Clinic/Center,NC,O,Medicare,,1
2019-10,Caesars Las Vegas Health & Wellness Center,Clinic/Center,NV,O,Commercial,791.39,3
2019-10,Cahokia High School Based Health Clinic,Clinic/Center,IL,O,Medicare,67.39,1
2019-10,Cambridge Medical Group,Clinic/Center,FL,O,Commercial,16.72,1
2019-10,Camden Primary Care,Clinic/Center,DE,O,Medicaid,320.08,1
2019-10,Camden Primary Care,Clinic/Center,DE,O,Medicare,208.82,2
2019-10,Canyon Health Center,Clinic/Center,TX,O,Medicare,198.26,3
2019-10,Canyonlands Urgent Care,Clinic/Center,AZ,O,Medicare,571.97,4
2019-10,Care Resource,Clinic/Center,FL,O,Medicare,165.54,4
2019-10,Care South,Clinic/Center,LA,O,Commercial,,1
2019-10,Carevide,Clinic/Center,TX,O,Medicare,32104.17,159
2019-10,Caribbean House Health Center,Clinic/Center,NY,O,Medicare,719.07,3
2019-10,Caring Family S. C.,Clinic/Center,IL,O,Commercial,729.52,6
2019-10,Caring Minds Medical Center LLC,Clinic/Center,DE,O,Medicare,107.95,1
2019-10,Carlos A. Suescun MD LLC,Clinic/Center,AZ,O,Commercial,72.68,2
2019-10,Carringer Chiropractic LLC,Clinic/Center,GA,O,Commercial,160.92,1
2019-10,Castle Family Health Center-Castle Site,Clinic/Center,CA,O,Commercial,109.25,1
2019-10,Castle Family Health Center-Castle Site,Clinic/Center,CA,O,Medicare,45583.85,323
2019-10,Castle Rock Pediatrics,Clinic/Center,CO,O,Commercial,700.32,3
2019-10,Cedar Court Clinic,Clinic/Center,IL,O,Commercial,62.48,1
2019-10,Cedars Health Rock Springs Clinic,Clinic/Center,WY,O,Commercial,106.13,1
2019-10,Center For Family Health at Lifeways,Clinic/Center,MI,I,Medicare,30233.91,4
2019-10,Center For Family Health at Lifeways,Clinic/Center,MI,O,Commercial,1099.96,2
2019-10,Center For Family Health at Lifeways,Clinic/Center,MI,O,Medicare,61297.45,88
2019-10,Center For Internal Medicine Hyper Kidney Disease & Critical Care Inc.,Nurse Practitioner,VA,O,Medicare,674.98,5
2019-10,Center For Internal Medicine Pa,Clinic/Center,TX,O,Commercial,103.68,1
2019-10,Centerstone Alton,Clinic/Center,IL,O,Commercial,459.44,2
2019-10,Centerstone Alton,Clinic/Center,IL,O,Medicare,0.00,7
2019-10,Centerstone Behaviorial Health-West Main,Clinic/Center,IL,O,Medicaid,0.00,1
2019-10,Centerstone Behaviorial Health-West Main,Clinic/Center,IL,O,Medicare,0.00,28
2019-10,Centerville Clinics-Waynesburg Office,Clinic/Center,PA,O,Medicaid,0.00,2
2019-10,Centra Wellness Network,Clinic/Center,MI,O,Commercial,105.97,1
2019-10,Centracare Quickclinic -Foley,Clinic/Center,MN,O,Commercial,282.32,2
2019-10,Central City Community Health Center,Clinic/Center,CA,O,Commercial,567.02,3
2019-10,Central City Community Health Center,Clinic/Center,CA,O,Medicare,642.16,5
2019-10,Central Florida Health Care-Wauchula,Clinic/Center,FL,O,Commercial,239.92,1
2019-10,Central Illinois Pediatrics Assoc.,Clinic/Center,IL,O,Commercial,248.88,1
2019-10,Central Wa Fmly. Medicine Yakima Clinic,Clinic/Center,WA,O,Medicare,176.58,3
2019-10,Centro De Salud Familiar La Fe Central,Clinic/Center,TX,O,Commercial,147.48,2
2019-10,Centro Medico Cathedral City,Clinic/Center,CA,O,Commercial,211.17,1
2019-10,Centro Medico Coachella,Clinic/Center,CA,O,Commercial,,2
2019-10,Centro Medico Coachella,Clinic/Center,CA,O,Medicare,3200.49,55
2019-10,Centro Medico El Cajon,Clinic/Center,CA,O,Commercial,736.86,2
2019-10,Centro Medico El Cajon,Clinic/Center,CA,O,Medicaid,,1
2019-10,Centro Medico El Cajon,Clinic/Center,CA,O,Medicare,,10
2019-10,Centro Servicios Primarios De Salud De Patillas Inc.,Clinic/Center,PR,O,Commercial,244.44,5
2019-10,Centro Servicios Primarios De Salud De Patillas Inc.,Clinic/Center,PR,O,Medicaid,698.80,4
2019-10,Chantilly Family Practice,Clinic/Center,VA,O,Commercial,187.63,1
2019-10,Chanun Park Do Pa,Clinic/Center,FL,O,Commercial,102.60,1
2019-10,Charles B. Wang Community Health Center,Clinic/Center,NY,O,Commercial,673.98,2
2019-10,Charles W. Allen Mdpa,Clinic/Center,TX,O,Commercial,74.87,1
2019-10,Chas-Denny Murphy Clinic,Clinic/Center,WA,O,Medicare,3.08,1
2019-10,Chase Brexton Health Svcs-Mt Vernon Ctr,Clinic/Center,MD,O,Commercial,337.07,3
2019-10,Chase Brexton Health Svcs-Mt Vernon Ctr,Clinic/Center,MD,O,Medicare,610.06,4
2019-10,Chattanooga Hamilton County,Clinic/Center,TN,O,Commercial,94.01,2
2019-10,Chattanooga Hamilton County,Clinic/Center,TN,O,Medicare,630.17,10
2019-10,Chc. of SE. Kansas-Coffeyville,Clinic/Center,KS,O,Commercial,,1
2019-10,Chc. of SE. Kansas-Coffeyville,Clinic/Center,KS,O,Medicare,72.97,2
2019-10,Chesapeake Family Medical Center,Clinic/Center,OH,O,Medicare,357.45,1
2019-10,Chestnut Pediatrics,Clinic/Center,CA,O,Commercial,305.89,2
2019-10,Chickasaw Nation Purcell Clinic,Clinic/Center,OK,O,Commercial,65.78,1
2019-10,Children & Adolescents,Clinic/Center,OR,O,Commercial,259.22,2
2019-10,Children First LLC,Clinic/Center,MD,O,Commercial,185.82,2
2019-10,Childrens Care PL.,Clinic/Center,FL,O,Commercial,230.43,1
2019-10,Childrens Medical Group,Clinic/Center,FL,O,Commercial,587.06,5
2019-10,Childrens Medical Group,Clinic/Center,FL,O,Medicare,5053.40,18
2019-10,Chiricahua Cmnty. Hlth-Jennifer Ryan Clnc.,Clinic/Center,AZ,O,Commercial,335.77,2
2019-10,Chiricahua Cmnty. Hlth-Jennifer Ryan Clnc.,Clinic/Center,AZ,O,Medicare,3973.25,40
2019-10,Choctaw Nation Health Clinic-Idabel,Clinic/Center,OK,O,Commercial,,1
2019-10,Chop Care Network Mt Laurel,Clinic/Center,NJ,O,Commercial,3101.16,20
2019-10,Choptank Community Health System,Clinic/Center,MD,O,Commercial,370.92,3
2019-10,Christian Cmnty. Health Ctr-Calumet City,Clinic/Center,IL,O,Medicare,385.76,5
2019-10,Christian Cmnty. Health Ctr-South Holland,Clinic/Center,IL,O,Medicare,531.36,3
2019-10,Cinco West Pediatrics,Clinic/Center,TX,O,Commercial,85.96,1
2019-10,Circle of Life Family Medicine PC,Clinic/Center,MA,O,Commercial,415.76,3
2019-10,Clark Family Medicine,Clinic/Center,FL,O,Commercial,259.93,2
2019-10,Clay City Pediatrics and Primary Care,Clinic/Center,KY,O,Medicare,656.52,6
2019-10,Claydon Medical Group,Clinic/Center,CA,O,Commercial,215.50,1
2019-10,Clearwater Endoscopy Center,Clinic/Center,FL,O,Medicare,1963.79,5
2019-10,Clinchfield Family Medicine,Clinic/Center,TN,O,Commercial,116.57,1
2019-10,Clinic at Commerce Centre The,Clinic/Center,AR,O,Commercial,702.62,4
2019-10,Clinical De Salud-King City Dental Clinic,Clinic/Center,CA,O,Medicare,6136.23,66
2019-10,Cmnty. Hlth. and Scl. SRVCS SW. Center,Clinic/Center,MI,O,Commercial,689.05,6
2019-10,Cmnty. Hlth. and Scl. SRVCS SW. Center,Clinic/Center,MI,O,Medicare,11024.33,52
2019-10,Coastal Family Practice PC,Clinic/Center,VA,O,Commercial,3620.04,15
2019-10,Coastal Pediatrics,Clinic/Center,FL,O,Medicare,247.12,2
2019-10,Coastal Plus Medical Center Inc.,Clinic/Center,FL,O,Commercial,408.54,1
2019-10,Cobre Valley Family Practice,Clinic/Center,AZ,O,Commercial,,1
2019-10,Codman Square Health Center and Wic,Clinic/Center,MA,O,Commercial,207.86,1
2019-10,"Colin Hamblin, A Professional Medical Corp.",Clinic/Center,CA,O,Medicare,644.84,13
2019-10,Collier Medical LLC,Clinic/Center,FL,O,Commercial,110.47,1
2019-10,Columbia Valley Community Health-Chelan,Clinic/Center,WA,O,Medicaid,142.44,1
2019-10,Communicare Healthcare Salud Clinic,Clinic/Center,CA,O,Commercial,97.81,1
2019-10,Community & Rural Health Services,Clinic/Center,OH,O,Medicare,137.07,2
2019-10,Community Action Health Center-Beeville,Clinic/Center,TX,O,Commercial,125.26,1
2019-10,Community Action Health Center-Beeville,Clinic/Center,TX,O,Medicaid,562.48,6
2019-10,Community Action Health Center-Beeville,Clinic/Center,TX,O,Medicare,8829.20,38
2019-10,Community Action Health Center-Kleberg,Clinic/Center,TX,O,Medicare,3611.28,34
2019-10,Community Action Health Center-Laviana,Clinic/Center,TX,O,Commercial,62.82,1
2019-10,Community Action Health Center-Laviana,Clinic/Center,TX,O,Medicare,0.00,8
2019-10,Community Aids Resource Inc.,Clinic/Center,FL,O,Medicare,488.16,5
2019-10,Community Care-Southeast Health Center,Clinic/Center,TX,O,Commercial,1565.85,16
2019-10,Community Care-Southeast Health Center,Clinic/Center,TX,O,Medicare,14891.17,102
2019-10,Community Health Associates,Clinic/Center,AZ,O,Commercial,0.00,1
2019-10,Community Health Center of Ft. Dodge,Clinic/Center,IA,O,Medicare,4797.28,39
2019-10,Community Health Center of Lubbock Inc.,Clinic/Center,TX,O,Commercial,204.47,5
2019-10,Community Health Center of Lubbock Inc.,Clinic/Center,TX,O,Medicaid,71.57,5
2019-10,Community Health Center of Lubbock Inc.,Clinic/Center,TX,O,Medicare,12463.97,69
2019-10,Community Health Center of Northern Mi,Clinic/Center,MI,O,Medicare,243.57,2
2019-10,Community Health Centers at Largo,Clinic/Center,FL,O,Medicare,116.78,1
2019-10,Community Health Centers of SE. Iowa,Clinic/Center,IA,O,Medicare,11460.92,124
2019-10,Community Health Centers-Lompoc,Clinic/Center,CA,O,Commercial,484.52,2
2019-10,Community Health Centers-Nipomo,Clinic/Center,CA,O,Commercial,696.24,4
2019-10,Community Health and Dental Care,Clinic/Center,PA,O,Commercial,126.94,2
2019-10,Community Health and Dental Care,Clinic/Center,PA,O,Medicare,411.95,12
2019-10,Community Health of East Tennessee,Clinic/Center,TN,O,Commercial,632.06,3
2019-10,Community Medical Centers-Channel St.,Clinic/Center,CA,O,Commercial,375.96,2
2019-10,Community Medical Centers-Esparto,Clinic/Center,CA,O,Medicare,1173.35,11
2019-10,Community Partners Integrated Healthcare Inc.,Clinic/Center,AZ,O,Commercial,0.00,3
2019-10,Community Partners Integrated Healthcare Inc.,Clinic/Center,AZ,O,Medicare,84.07,62
2019-10,Compass Pediatrics PLLC,Clinic/Center,TX,O,Commercial,244.63,2
2019-10,Compassionate Care Physicians LLC,Clinic/Center,MA,O,Commercial,232.83,1
2019-10,Complete Care Family Medicine and Skin Center,Clinic/Center,CA,O,Commercial,751.04,2
2019-10,Complete Care Medicine Inc.,Clinic/Center,AZ,O,Commercial,773.44,6
2019-10,Comprehensive Family Medicine PC,Clinic/Center,CO,O,Commercial,83.66,1
2019-10,Comprehensive Health and Wellness Center Pa,Clinic/Center,FL,O,Commercial,105.47,1
2019-10,Comprehensive Womens Health,Clinic/Center,MD,O,Commercial,166.79,2
2019-10,Conifer Medical Center PC,Clinic/Center,CO,O,Commercial,346.37,2
2019-10,Constant K S Chan. MD Inc.,Clinic/Center,CA,O,Medicare,1403.10,3
2019-10,Consultants In Internal Medicine PC,Clinic/Center,AZ,O,Commercial,101.94,1
2019-10,Convenient Pediatrics,Clinic/Center,NJ,O,Commercial,258.28,1
2019-10,Cook County,Clinic/Center,IL,O,Medicare,772.02,10
2019-10,Cornerstone Care Cmnty. Medical-Dental,Clinic/Center,PA,O,Medicaid,0.00,4
2019-10,Cornerstone Care Cmnty. Medical-Dental,Clinic/Center,PA,O,Medicare,0.00,2
2019-10,Cornerstone Family Healthcare,Clinic/Center,NY,O,Commercial,1716.44,7
2019-10,Cornerstone Family Healthcare,Clinic/Center,NY,O,Medicare,17693.98,53
2019-10,Cornerstone Health LLC,Clinic/Center,AZ,O,Commercial,159.17,1
