PAYERGROUPCODE,STATECODE,MONTHUID,PMPM,PMPM_FORECAST,PMPM_FORECAST_LOWER,PMPM_FORECAST_UPPER,PMPM_FORECAST_MAE,MODEL
All,DE,2019-12,280.567268824,325.09629642,296.871927732,357.60775703,44.400544599,PROPHET
All,DE,2020-01,,325.08880769,293.500686803,353.186294089,44.400544599,PROPHET
All,DE,2020-02,,325.08131896,294.303722972,354.292416246,44.400544599,PROPHET
All,FL,2019-01,297.701393784,304.991324174,288.615817892,322.398906711,25.345743424,PROPHET
All,FL,2019-02,298.245916544,304.813735447,286.246587337,321.53737627,25.345743424,PROPHET
All,FL,2019-03,311.924864837,304.653332727,286.802350234,321.697832692,25.345743424,PROPHET
All,FL,2019-04,313.396215213,304.475743989,286.194752348,319.883771541,25.345743424,PROPHET
All,FL,2019-05,316.073195713,304.303883921,287.344034986,321.247198441,25.345743424,PROPHET
All,FL,2019-06,286.312395066,304.12629518,286.426037458,321.03221763,25.345743424,PROPHET
All,FL,2019-07,298.030062771,303.954435108,287.206144321,321.240237478,25.345743424,PROPHET
All,FL,2019-08,308.109527235,303.776846366,286.995641307,320.492818608,25.345743424,PROPHET
All,FL,2019-09,299.687192286,303.599257623,286.766307982,322.155778105,25.345743424,PROPHET
All,FL,2019-10,336.900327697,303.427397547,286.092428551,321.002056279,25.345743424,PROPHET
All,FL,2019-11,292.685849588,303.249808802,285.522756218,320.901572265,25.345743424,PROPHET
All,FL,2019-12,289.367293623,303.077948725,285.86360023,321.002659239,25.345743424,PROPHET
All,FL,2020-01,,302.90035998,285.106400168,319.369046546,25.345743424,PROPHET
All,FL,2020-02,,302.722771234,285.352957382,318.958763753,25.345743424,PROPHET
All,GA,2019-01,455.290556243,453.537811736,430.778518258,478.74658516,21.169464246,PROPHET
All,GA,2019-02,431.704799224,451.98274695,429.141069823,474.76039602,21.169464246,PROPHET
All,GA,2019-03,469.721887667,450.578172366,426.297067126,473.419632106,21.169464246,PROPHET
All,GA,2019-04,456.768487102,449.023107646,425.725813515,472.682586604,21.169464246,PROPHET
All,GA,2019-05,460.973702259,447.518206289,423.890527252,471.218180148,21.169464246,PROPHET
All,GA,2019-06,413.359455401,445.963141485,422.525448437,469.40773093,21.169464246,PROPHET
All,GA,2019-07,438.462701734,444.458255212,419.415011749,468.828577686,21.169464246,PROPHET
All,GA,2019-08,456.078524216,442.903206102,419.623459786,466.674589162,21.169464246,PROPHET
All,GA,2019-09,428.65710916,441.348156976,417.585269416,463.566163087,21.169464246,PROPHET
All,GA,2019-10,476.649303501,439.843270654,417.241617178,462.296170697,21.169464246,PROPHET
All,GA,2019-11,429.81874574,438.288221453,416.104629837,463.145762041,21.169464246,PROPHET
All,GA,2019-12,425.106979052,436.783335131,413.099479633,460.927761242,21.169464246,PROPHET
All,GA,2020-01,,435.22828593,412.458314076,458.25595113,21.169464246,PROPHET
All,GA,2020-02,,433.67323673,411.810585362,456.394654851,21.169464246,PROPHET
All,HI,2019-01,628.796663118,666.888293361,610.358788628,722.079097764,4.370671526,PROPHET
All,HI,2019-02,627.405543171,662.319023907,605.754392134,719.264589208,4.370671526,PROPHET
All,HI,2019-03,733.591404971,658.191941787,602.057069955,718.183551184,4.370671526,PROPHET
All,HI,2019-04,640.461389807,653.622672295,597.279111809,707.474260464,4.370671526,PROPHET
All,HI,2019-05,651.692984261,649.200798594,592.659790125,703.45468009,4.370671526,PROPHET
All,HI,2019-06,577.119495066,644.631529102,585.966225233,704.342374569,4.370671526,PROPHET
All,HI,2019-07,712.122036002,640.209655423,582.448465516,692.816699681,4.370671526,PROPHET
All,HI,2019-08,683.606009408,635.640103455,578.691302792,688.3881299,4.370671526,PROPHET
All,HI,2019-09,649.033797656,631.070551418,577.840986201,686.3017051,4.370671526,PROPHET
All,HI,2019-10,617.079545064,626.64840423,571.946895235,682.847626507,4.370671526,PROPHET
All,HI,2019-11,613.005798489,622.078852136,566.842904727,675.742115442,4.370671526,PROPHET
All,HI,2019-12,574.338415144,617.656704949,560.888761224,676.625885604,4.370671526,PROPHET
All,HI,2020-01,,613.087152855,560.457646538,669.516015855,4.370671526,PROPHET
All,HI,2020-02,,608.517600761,554.233660632,668.439043963,4.370671526,PROPHET
All,IA,2019-01,628.852903939,640.187468377,589.986989642,694.499789732,226.270907806,PROPHET
All,IA,2019-02,557.223508618,619.161038292,567.711332812,675.643386391,226.270907806,PROPHET
All,IA,2019-03,646.760253918,600.169424005,545.957454332,655.153884902,226.270907806,PROPHET
All,IA,2019-04,624.200591709,579.142993914,527.534285284,631.429080487,226.270907806,PROPHET
All,IA,2019-05,621.506543619,558.794835745,503.134172286,614.475430564,226.270907806,PROPHET
All,IA,2019-06,544.344851911,537.768405655,487.100969697,589.409622788,226.270907806,PROPHET
All,IA,2019-07,449.286326401,517.420247505,458.845909157,573.430793033,226.270907806,PROPHET
All,IA,2019-08,467.81534881,496.393817503,442.904311026,549.472747648,226.270907806,PROPHET
All,IA,2019-09,435.629455014,475.367387522,419.742646313,525.293433795,226.270907806,PROPHET
All,IA,2019-10,486.373370798,455.019229512,401.064365124,503.763369449,226.270907806,PROPHET
All,IA,2019-11,426.853861708,433.99279957,381.689211625,485.78617169,226.270907806,PROPHET
All,IA,2019-12,438.210836182,413.64464156,361.99937548,466.747118621,226.270907806,PROPHET
All,IA,2020-01,,392.618211617,339.922931564,446.904890248,226.270907806,PROPHET
All,IA,2020-02,,371.591781675,319.1215953,423.571811056,226.270907806,PROPHET
All,ID,2019-01,252.497938434,260.772577233,214.067909638,308.593294298,95.735989906,PROPHET
All,ID,2019-02,226.57468679,256.410589719,212.71583923,301.698444065,95.735989906,PROPHET
All,ID,2019-03,208.638068999,252.470730033,209.500648959,300.401908221,95.735989906,PROPHET
All,ID,2019-04,282.158719427,248.108742521,200.450467731,294.362391272,95.735989906,PROPHET
All,ID,2019-05,264.411787025,243.88746428,198.98912555,288.552089913,95.735989906,PROPHET
All,ID,2019-06,234.299341851,239.525476768,195.131334634,286.156577194,95.735989906,PROPHET
All,ID,2019-07,263.732020777,235.304198527,190.529697989,281.414969698,95.735989906,PROPHET
All,ID,2019-08,262.62586789,230.942211013,183.920429764,277.31003817,95.735989906,PROPHET
All,ID,2019-09,241.841137352,226.580018038,178.227814719,270.055634339,95.735989906,PROPHET
All,ID,2019-10,269.334516199,222.358540961,175.852240266,265.14271329,95.735989906,PROPHET
All,ID,2019-11,208.59360022,217.996347981,171.441533686,263.972325623,95.735989906,PROPHET
All,ID,2019-12,133.688442248,213.774870903,166.710514336,259.112500474,95.735989906,PROPHET
All,ID,2020-01,,209.412677923,166.57035785,255.423294355,95.735989906,PROPHET
All,ID,2020-02,,205.050484943,158.667747392,251.054042842,95.735989906,PROPHET
All,IL,2019-01,411.784794954,425.397886923,408.267548336,443.207076025,25.650195253,PROPHET
All,IL,2019-02,403.075250159,422.20461107,402.089438659,439.809990914,25.650195253,PROPHET
All,IL,2019-03,433.825071768,419.320361864,400.540484386,438.938788387,25.650195253,PROPHET
All,IL,2019-04,428.951878595,416.127085852,397.003269595,434.716638539,25.650195253,PROPHET
All,IL,2019-05,431.299473146,413.036818595,393.119311882,431.34692183,25.650195253,PROPHET
All,IL,2019-06,398.958363654,409.843537738,390.768408357,429.187005016,25.650195253,PROPHET
All,IL,2019-07,412.913831288,406.753265958,387.70298413,426.459977229,25.650195253,PROPHET
All,IL,2019-08,409.7046961,403.559985086,384.004858852,423.661264347,25.650195253,PROPHET
All,IL,2019-09,392.590881836,400.366704088,381.3736549,419.723844704,25.650195253,PROPHET
All,IL,2019-10,416.460289348,397.276432095,378.195839938,416.211977425,25.650195253,PROPHET
All,IL,2019-11,366.753208283,394.083151036,375.674619721,411.770852187,25.650195253,PROPHET
All,IL,2019-12,392.69131824,390.992879043,372.238936815,411.55966863,25.650195253,PROPHET
All,IL,2020-01,,387.799597983,367.264495069,406.83918087,25.650195253,PROPHET
All,IL,2020-02,,384.606316924,364.975687637,404.497005799,25.650195253,PROPHET
All,IN,2019-01,370.891687631,361.720140111,347.272522804,374.462844729,8.489925122,PROPHET
All,IN,2019-02,350.491418217,360.983492735,347.787479563,373.971074623,8.489925122,PROPHET
All,IN,2019-03,359.853496693,360.318133822,347.104259549,374.88306505,8.489925122,PROPHET
All,IN,2019-04,364.253898249,359.581486453,346.073838814,373.137889155,8.489925122,PROPHET
All,IN,2019-05,359.670867802,358.868601907,346.143380781,373.223803106,8.489925122,PROPHET
All,IN,2019-06,336.964865917,358.131954537,345.574417643,372.178987265,8.489925122,PROPHET
All,IN,2019-07,360.223630649,357.419069985,343.122654421,370.953265029,8.489925122,PROPHET
All,IN,2019-08,374.733931128,356.682422602,343.033383347,369.90781677,8.489925122,PROPHET
All,IN,2019-09,354.953315466,355.945775223,342.15120265,369.588268541,8.489925122,PROPHET
All,IN,2019-10,367.126529159,355.232890653,342.633297856,370.139208666,8.489925122,PROPHET
All,IN,2019-11,339.961881784,354.496243263,340.735521683,368.331636067,8.489925122,PROPHET
All,IN,2019-12,354.066352753,353.783358692,340.795183065,367.806817575,8.489925122,PROPHET
All,IN,2020-01,,353.046711303,339.836344979,365.986789138,8.489925122,PROPHET
All,IN,2020-02,,352.310063913,338.770156434,365.782245861,8.489925122,PROPHET
All,KS,2019-01,374.501044303,376.388691208,350.261351693,401.023946204,15.729452353,PROPHET
All,KS,2019-02,348.678409717,372.899576518,346.113270872,397.651033853,15.729452353,PROPHET
All,KS,2019-03,410.59328006,369.748118077,345.159301375,396.028100002,15.729452353,PROPHET
All,KS,2019-04,389.843467909,366.259003375,339.673921472,393.688893647,15.729452353,PROPHET
All,KS,2019-05,367.014860433,362.882440759,337.018154826,389.636367795,15.729452353,PROPHET
All,KS,2019-06,322.115640111,359.393326046,333.269018159,384.350556088,15.729452353,PROPHET
All,KS,2019-07,346.008549483,356.016763412,329.780475202,380.361092676,15.729452353,PROPHET
All,KS,2019-08,335.858769055,352.527648701,325.147571963,376.958790311,15.729452353,PROPHET
All,KS,2019-09,341.178192673,349.038533992,325.725378261,373.447920628,15.729452353,PROPHET
All,KS,2019-10,359.605564174,345.661971381,319.981596862,371.822032846,15.729452353,PROPHET
All,KS,2019-11,354.27724978,342.172856683,316.785008112,369.583292429,15.729452353,PROPHET
All,KS,2019-12,342.145705877,338.796294072,312.693262615,364.385186406,15.729452353,PROPHET
All,KS,2020-01,,335.307179374,311.1903093,360.957056511,15.729452353,PROPHET
All,KS,2020-02,,331.818064676,308.168234952,357.737539839,15.729452353,PROPHET
All,KY,2019-01,459.337224302,448.922837946,427.503082932,469.864959498,19.291255579,PROPHET
All,KY,2019-02,445.452461152,444.428745558,423.324059088,465.3545628,19.291255579,PROPHET
All,KY,2019-03,447.809507005,440.369562703,419.715998186,460.095451665,19.291255579,PROPHET
All,KY,2019-04,437.72349351,435.875472298,416.184084881,458.263113797,19.291255579,PROPHET
All,KY,2019-05,431.961453335,431.526354255,409.868033346,451.263093412,19.291255579,PROPHET
All,KY,2019-06,388.6900402,427.032265267,406.441089103,447.226212343,19.291255579,PROPHET
All,KY,2019-07,419.161657325,422.684509108,400.901834354,443.088618564,19.291255579,PROPHET
All,KY,2019-08,434.662395579,418.191832877,397.445905243,440.283132476,19.291255579,PROPHET
All,KY,2019-09,392.545041318,413.699395318,393.475999223,435.023275703,19.291255579,PROPHET
All,KY,2019-10,432.675468441,409.351876683,389.378277067,431.064595585,19.291255579,PROPHET
All,KY,2019-11,394.115815634,404.859440759,384.136798183,425.564436055,19.291255579,PROPHET
All,KY,2019-12,413.333235697,400.511922124,378.13209446,421.425331864,19.291255579,PROPHET
All,KY,2020-01,,396.019486201,374.516228692,416.241000528,19.291255579,PROPHET
All,KY,2020-02,,391.527050277,370.070991624,412.105874807,19.291255579,PROPHET
All,LA,2019-01,381.62867503,380.455808078,358.672203951,402.190121231,13.272158873,PROPHET
All,LA,2019-02,386.37033629,378.853290516,358.533503355,399.310772784,13.272158873,PROPHET
All,LA,2019-03,389.410871413,377.405855305,355.675461532,397.889818609,13.272158873,PROPHET
All,LA,2019-04,374.459347823,375.803337736,354.895414214,397.630004165,13.272158873,PROPHET
All,LA,2019-05,373.370586855,374.252514274,354.249097407,396.113465908,13.272158873,PROPHET
All,LA,2019-06,336.164439715,372.649996706,351.867975473,394.105978669,13.272158873,PROPHET
All,LA,2019-07,359.844983463,371.099216025,351.956305106,392.271887145,13.272158873,PROPHET
All,LA,2019-08,380.622038919,369.496742653,348.662296191,390.638509875,13.272158873,PROPHET
All,LA,2019-09,362.631465939,367.894269282,346.063123501,387.942221058,13.272158873,PROPHET
All,LA,2019-10,402.452318024,366.343488609,345.775787751,387.75834202,13.272158873,PROPHET
All,LA,2019-11,359.616362495,364.741015246,344.784992962,386.083235552,13.272158873,PROPHET
All,LA,2019-12,355.708116441,363.190234573,343.72027301,385.938655688,13.272158873,PROPHET
All,LA,2020-01,,361.587761211,341.637777314,383.513394894,13.272158873,PROPHET
All,LA,2020-02,,359.985287849,339.102218497,381.343112218,13.272158873,PROPHET
All,MA,2019-01,504.977692677,488.060795185,452.599543737,523.751823663,51.482569976,PROPHET
All,MA,2019-02,450.326294429,484.077534307,448.50929665,520.082143916,51.482569976,PROPHET
All,MA,2019-03,493.294987149,480.47975034,445.702670986,518.363018889,51.482569976,PROPHET
All,MA,2019-04,476.691299438,476.49648956,441.364578408,511.70195296,51.482569976,PROPHET
All,MA,2019-05,478.4705537,472.641721035,434.887536661,510.204432386,51.482569976,PROPHET
All,MA,2019-06,449.620267472,468.658460286,431.21096909,508.27679501,51.482569976,PROPHET
All,MA,2019-07,456.014098055,464.803691793,426.738060109,499.771414763,51.482569976,PROPHET
All,MA,2019-08,479.221788147,460.820431044,424.512340819,499.189237233,51.482569976,PROPHET
All,MA,2019-09,437.80722745,456.837170256,422.978624736,493.890556022,51.482569976,PROPHET
All,MA,2019-10,528.822492688,452.982401768,418.12375204,488.078161571,51.482569976,PROPHET
All,MA,2019-11,434.413396166,448.999140997,412.911727545,485.890331748,51.482569976,PROPHET
All,MA,2019-12,411.295254831,445.144372509,407.950194635,481.839922804,51.482569976,PROPHET
All,MA,2020-01,,441.161111737,403.772972164,478.928771516,51.482569976,PROPHET
All,MA,2020-02,,437.177850966,400.888805782,477.755542906,51.482569976,PROPHET
All,MD,2019-01,502.859535549,501.3747255,470.009135325,532.871481255,64.479795259,PROPHET
All,MD,2019-02,468.722807907,495.35481733,465.375557547,527.963213196,64.479795259,PROPHET
All,MD,2019-03,495.82082479,489.917480933,459.16814472,522.972096191,64.479795259,PROPHET
All,MD,2019-04,490.393587965,483.897572796,454.354830579,516.995704383,64.479795259,PROPHET
All,MD,2019-05,491.931800719,478.07185525,445.919161286,508.775101154,64.479795259,PROPHET
All,MD,2019-06,440.39718082,472.0519471,441.018738661,504.034578484,64.479795259,PROPHET
All,MD,2019-07,480.074619636,466.226229498,434.560995532,499.361389457,64.479795259,PROPHET
All,MD,2019-08,484.334965516,460.206321295,428.193155387,493.165216882,64.479795259,PROPHET
All,MD,2019-09,447.083453785,454.18641304,423.25661667,485.656521818,64.479795259,PROPHET
All,MD,2019-10,490.82202233,448.360695333,417.760575278,480.389789475,64.479795259,PROPHET
