MONTHS,ACTIVE_MEMBERS,STATECODE,LOB
2018-10,6,RI,Medicaid
2018-10,836,RI,Medicare
2018-10,25324,SC,Commercial
2018-10,12,SC,Medicaid
2018-10,54613,SC,Medicare
2018-10,5908,SD,Commercial
2018-10,4,SD,Medicaid
2018-10,47,SD,Medicare
2018-10,37434,TN,Commercial
2018-10,93,TN,Medicaid
2018-10,36771,TN,Medicare
2018-10,481626,TX,Commercial
2018-10,5097,TX,Medicaid
2018-10,268406,TX,Medicare
2018-10,12783,UT,Commercial
2018-10,4,UT,Medicaid
2018-10,271,UT,Medicare
2018-10,160577,VA,Commercial
2018-10,53,VA,Medicaid
2018-10,57904,VA,Medicare
2018-10,1986,VT,Commercial
2018-10,12,VT,Medicaid
2018-10,18,VT,Medicare
2018-10,45059,WA,Commercial
2018-10,32,WA,Medicaid
2018-10,8100,WA,Medicare
2018-10,67868,WI,Commercial
2018-10,4797,WI,Medicaid
2018-10,16655,WI,Medicare
2018-10,9987,WV,Commercial
2018-10,5,WV,Medicaid
2018-10,24078,WV,Medicare
2018-10,3239,WY,Commercial
2018-10,1,WY,Medicaid
2018-10,25,WY,Medicare
2018-10,15175,,Commercial
2018-10,6,,Medicaid
2018-10,3573,,Medicare
2018-11,2016,AK,Commercial
2018-11,32,AK,Medicare
2018-11,22945,AL,Commercial
2018-11,3,AL,Medicaid
2018-11,398,AL,Medicare
2018-11,12483,AR,Commercial
2018-11,1,AR,Medicaid
2018-11,1839,AR,Medicare
2018-11,31989,AZ,Commercial
2018-11,163,AZ,Medicaid
2018-11,62567,AZ,Medicare
2018-11,509783,CA,Commercial
2018-11,6942,CA,Medicaid
2018-11,417955,CA,Medicare
2018-11,53606,CO,Commercial
2018-11,522,CO,Medicaid
2018-11,28417,CO,Medicare
2018-11,55111,CT,Commercial
2018-11,43,CT,Medicaid
2018-11,2101,CT,Medicare
2018-11,2272,DC,Commercial
2018-11,6,DC,Medicaid
2018-11,22365,DC,Medicare
2018-11,5332,DE,Commercial
2018-11,5273,DE,Medicaid
2018-11,13364,DE,Medicare
2018-11,222798,FL,Commercial
2018-11,224,FL,Medicaid
2018-11,127856,FL,Medicare
2018-11,144844,GA,Commercial
2018-11,21,GA,Medicaid
2018-11,277985,GA,Medicare
2018-11,2331,HI,Commercial
2018-11,2,HI,Medicaid
2018-11,7882,HI,Medicare
2018-11,18434,IA,Commercial
2018-11,10,IA,Medicaid
2018-11,18244,IA,Medicare
2018-11,56530,ID,Commercial
2018-11,598,ID,Medicaid
2018-11,104,ID,Medicare
2018-11,390039,IL,Commercial
2018-11,5590,IL,Medicaid
2018-11,137601,IL,Medicare
2018-11,138618,IN,Commercial
2018-11,18,IN,Medicaid
2018-11,78392,IN,Medicare
2018-11,16583,KS,Commercial
2018-11,4,KS,Medicaid
2018-11,1040,KS,Medicare
2018-11,102879,KY,Commercial
2018-11,13,KY,Medicaid
2018-11,44059,KY,Medicare
2018-11,22598,LA,Commercial
2018-11,7,LA,Medicaid
2018-11,94595,LA,Medicare
2018-11,34707,MA,Commercial
2018-11,851,MA,Medicaid
2018-11,2035,MA,Medicare
2018-11,21064,MD,Commercial
2018-11,24,MD,Medicaid
2018-11,53688,MD,Medicare
2018-11,24903,ME,Commercial
2018-11,436,ME,Medicaid
2018-11,35,ME,Medicare
2018-11,309653,MI,Commercial
2018-11,345,MI,Medicaid
2018-11,44660,MI,Medicare
2018-11,155018,MN,Commercial
2018-11,21,MN,Medicaid
2018-11,13904,MN,Medicare
2018-11,75844,MO,Commercial
2018-11,444,MO,Medicaid
2018-11,37710,MO,Medicare
2018-11,16590,MS,Commercial
2018-11,3,MS,Medicaid
2018-11,17574,MS,Medicare
2018-11,18271,MT,Commercial
2018-11,409,MT,Medicaid
2018-11,51,MT,Medicare
2018-11,69869,NC,Commercial
2018-11,24,NC,Medicaid
2018-11,812,NC,Medicare
2018-11,6543,ND,Commercial
2018-11,49,ND,Medicare
2018-11,11118,NE,Commercial
2018-11,1,NE,Medicaid
2018-11,8933,NE,Medicare
2018-11,15785,NH,Commercial
2018-11,359,NH,Medicaid
2018-11,5150,NH,Medicare
2018-11,163593,NJ,Commercial
2018-11,508,NJ,Medicaid
2018-11,96195,NJ,Medicare
2018-11,50249,NM,Commercial
2018-11,83,NM,Medicaid
2018-11,32578,NM,Medicare
2018-11,19336,NV,Commercial
2018-11,9,NV,Medicaid
2018-11,22121,NV,Medicare
2018-11,256293,NY,Commercial
2018-11,294,NY,Medicaid
2018-11,210038,NY,Medicare
2018-11,373272,OH,Commercial
2018-11,468,OH,Medicaid
2018-11,27849,OH,Medicare
2018-11,70898,OK,Commercial
2018-11,725,OK,Medicaid
2018-11,296,OK,Medicare
2018-11,17680,OR,Commercial
2018-11,89,OR,Medicaid
2018-11,7091,OR,Medicare
2018-11,90632,PA,Commercial
2018-11,7759,PA,Medicaid
2018-11,84295,PA,Medicare
2018-11,6782,PR,Commercial
2018-11,107,PR,Medicare
2018-11,4431,RI,Commercial
2018-11,6,RI,Medicaid
2018-11,940,RI,Medicare
2018-11,25927,SC,Commercial
2018-11,14,SC,Medicaid
2018-11,57843,SC,Medicare
2018-11,5998,SD,Commercial
2018-11,4,SD,Medicaid
2018-11,52,SD,Medicare
2018-11,38218,TN,Commercial
2018-11,93,TN,Medicaid
2018-11,39580,TN,Medicare
2018-11,492967,TX,Commercial
2018-11,5143,TX,Medicaid
2018-11,291780,TX,Medicare
2018-11,12996,UT,Commercial
2018-11,4,UT,Medicaid
2018-11,286,UT,Medicare
2018-11,165566,VA,Commercial
2018-11,53,VA,Medicaid
2018-11,65276,VA,Medicare
2018-11,2047,VT,Commercial
2018-11,12,VT,Medicaid
2018-11,19,VT,Medicare
2018-11,45873,WA,Commercial
2018-11,36,WA,Medicaid
2018-11,8806,WA,Medicare
2018-11,69116,WI,Commercial
2018-11,4954,WI,Medicaid
2018-11,18696,WI,Medicare
2018-11,10222,WV,Commercial
2018-11,6,WV,Medicaid
2018-11,26097,WV,Medicare
2018-11,3312,WY,Commercial
2018-11,1,WY,Medicaid
2018-11,28,WY,Medicare
2018-11,15430,,Commercial
2018-11,6,,Medicaid
2018-11,3827,,Medicare
2018-12,2065,AK,Commercial
2018-12,39,AK,Medicare
2018-12,23435,AL,Commercial
2018-12,3,AL,Medicaid
2018-12,451,AL,Medicare
2018-12,12756,AR,Commercial
2018-12,1,AR,Medicaid
2018-12,2042,AR,Medicare
2018-12,32857,AZ,Commercial
2018-12,164,AZ,Medicaid
2018-12,68493,AZ,Medicare
2018-12,542356,CA,Commercial
2018-12,7478,CA,Medicaid
2018-12,441649,CA,Medicare
2018-12,56715,CO,Commercial
2018-12,720,CO,Medicaid
2018-12,30549,CO,Medicare
2018-12,57911,CT,Commercial
2018-12,49,CT,Medicaid
2018-12,2184,CT,Medicare
2018-12,2372,DC,Commercial
2018-12,6,DC,Medicaid
2018-12,23195,DC,Medicare
2018-12,5456,DE,Commercial
2018-12,5440,DE,Medicaid
2018-12,13955,DE,Medicare
2018-12,224521,FL,Commercial
2018-12,286,FL,Medicaid
2018-12,207545,FL,Medicare
2018-12,148788,GA,Commercial
2018-12,23,GA,Medicaid
2018-12,298295,GA,Medicare
2018-12,2417,HI,Commercial
2018-12,2,HI,Medicaid
2018-12,8328,HI,Medicare
2018-12,18712,IA,Commercial
2018-12,10,IA,Medicaid
2018-12,19383,IA,Medicare
2018-12,56714,ID,Commercial
2018-12,599,ID,Medicaid
2018-12,116,ID,Medicare
2018-12,398376,IL,Commercial
2018-12,5624,IL,Medicaid
2018-12,147276,IL,Medicare
2018-12,141960,IN,Commercial
2018-12,18,IN,Medicaid
2018-12,83896,IN,Medicare
2018-12,16871,KS,Commercial
2018-12,4,KS,Medicaid
2018-12,12075,KS,Medicare
2018-12,105006,KY,Commercial
2018-12,13,KY,Medicaid
2018-12,47712,KY,Medicare
2018-12,23070,LA,Commercial
2018-12,9,LA,Medicaid
2018-12,98546,LA,Medicare
2018-12,36312,MA,Commercial
2018-12,873,MA,Medicaid
2018-12,2214,MA,Medicare
2018-12,21515,MD,Commercial
2018-12,27,MD,Medicaid
2018-12,57465,MD,Medicare
2018-12,26328,ME,Commercial
2018-12,445,ME,Medicaid
2018-12,37,ME,Medicare
2018-12,318009,MI,Commercial
2018-12,440,MI,Medicaid
2018-12,68277,MI,Medicare
2018-12,156537,MN,Commercial
2018-12,21,MN,Medicaid
2018-12,14132,MN,Medicare
2018-12,77591,MO,Commercial
2018-12,448,MO,Medicaid
2018-12,42525,MO,Medicare
2018-12,16917,MS,Commercial
2018-12,4,MS,Medicaid
2018-12,20422,MS,Medicare
2018-12,18628,MT,Commercial
2018-12,410,MT,Medicaid
2018-12,54,MT,Medicare
2018-12,70989,NC,Commercial
2018-12,28,NC,Medicaid
2018-12,927,NC,Medicare
2018-12,6638,ND,Commercial
2018-12,57,ND,Medicare
2018-12,11330,NE,Commercial
2018-12,1,NE,Medicaid
2018-12,10031,NE,Medicare
2018-12,17143,NH,Commercial
2018-12,373,NH,Medicaid
2018-12,5636,NH,Medicare
2018-12,169623,NJ,Commercial
2018-12,552,NJ,Medicaid
2018-12,103360,NJ,Medicare
2018-12,53071,NM,Commercial
2018-12,117,NM,Medicaid
2018-12,42124,NM,Medicare
2018-12,20525,NV,Commercial
2018-12,10,NV,Medicaid
2018-12,24490,NV,Medicare
2018-12,267226,NY,Commercial
2018-12,300,NY,Medicaid
2018-12,223977,NY,Medicare
2018-12,378864,OH,Commercial
2018-12,480,OH,Medicaid
2018-12,30006,OH,Medicare
2018-12,72908,OK,Commercial
2018-12,727,OK,Medicaid
2018-12,347,OK,Medicare
2018-12,18159,OR,Commercial
2018-12,89,OR,Medicaid
2018-12,7880,OR,Medicare
2018-12,94495,PA,Commercial
2018-12,8022,PA,Medicaid
2018-12,91000,PA,Medicare
2018-12,6813,PR,Commercial
2018-12,6,PR,Medicaid
2018-12,121,PR,Medicare
2018-12,4591,RI,Commercial
2018-12,8,RI,Medicaid
2018-12,1265,RI,Medicare
2018-12,26493,SC,Commercial
2018-12,22,SC,Medicaid
2018-12,61815,SC,Medicare
2018-12,6095,SD,Commercial
2018-12,4,SD,Medicaid
2018-12,55,SD,Medicare
2018-12,38912,TN,Commercial
2018-12,94,TN,Medicaid
2018-12,42176,TN,Medicare
2018-12,506314,TX,Commercial
2018-12,5212,TX,Medicaid
2018-12,313790,TX,Medicare
2018-12,13330,UT,Commercial
2018-12,5,UT,Medicaid
2018-12,335,UT,Medicare
2018-12,176578,VA,Commercial
2018-12,54,VA,Medicaid
2018-12,71846,VA,Medicare
2018-12,2148,VT,Commercial
2018-12,12,VT,Medicaid
2018-12,22,VT,Medicare
2018-12,46720,WA,Commercial
2018-12,42,WA,Medicaid
2018-12,9591,WA,Medicare
2018-12,70987,WI,Commercial
2018-12,5237,WI,Medicaid
2018-12,20914,WI,Medicare
2018-12,10564,WV,Commercial
2018-12,6,WV,Medicaid
2018-12,27875,WV,Medicare
2018-12,3389,WY,Commercial
2018-12,2,WY,Medicaid
2018-12,34,WY,Medicare
2018-12,15845,,Commercial
2018-12,7,,Medicaid
2018-12,4108,,Medicare
2019-01,2956,AK,Commercial
2019-01,2,AK,Medicaid
2019-01,71,AK,Medicare
2019-01,33652,AL,Commercial
2019-01,22,AL,Medicaid
2019-01,622,AL,Medicare
2019-01,30947,AR,Commercial
2019-01,33,AR,Medicaid
2019-01,2411,AR,Medicare
2019-01,62527,AZ,Commercial
2019-01,295,AZ,Medicaid
2019-01,74077,AZ,Medicare
2019-01,802411,CA,Commercial
2019-01,56031,CA,Medicaid
2019-01,648465,CA,Medicare
2019-01,89985,CO,Commercial
2019-01,790,CO,Medicaid
2019-01,32962,CO,Medicare
2019-01,75532,CT,Commercial
2019-01,108,CT,Medicaid
2019-01,2412,CT,Medicare
2019-01,3006,DC,Commercial
2019-01,8,DC,Medicaid
2019-01,24004,DC,Medicare
2019-01,7034,DE,Commercial
2019-01,5667,DE,Medicaid
2019-01,15193,DE,Medicare
2019-01,340091,FL,Commercial
2019-01,2170,FL,Medicaid
2019-01,375847,FL,Medicare
2019-01,253682,GA,Commercial
2019-01,133,GA,Medicaid
2019-01,321275,GA,Medicare
2019-01,3840,HI,Commercial
2019-01,7,HI,Medicaid
2019-01,9560,HI,Medicare
2019-01,23950,IA,Commercial
2019-01,41,IA,Medicaid
2019-01,20781,IA,Medicare
2019-01,60544,ID,Commercial
2019-01,688,ID,Medicaid
2019-01,201,ID,Medicare
2019-01,507787,IL,Commercial
2019-01,6470,IL,Medicaid
2019-01,211405,IL,Medicare
2019-01,204208,IN,Commercial
2019-01,46,IN,Medicaid
2019-01,89878,IN,Medicare
2019-01,26634,KS,Commercial
2019-01,35,KS,Medicaid
2019-01,23962,KS,Medicare
2019-01,149765,KY,Commercial
2019-01,48,KY,Medicaid
2019-01,80324,KY,Medicare
2019-01,32481,LA,Commercial
2019-01,53,LA,Medicaid
2019-01,104671,LA,Medicare
2019-01,57284,MA,Commercial
2019-01,939,MA,Medicaid
2019-01,2630,MA,Medicare
2019-01,29846,MD,Commercial
2019-01,44,MD,Medicaid
2019-01,75445,MD,Medicare
2019-01,38456,ME,Commercial
2019-01,497,ME,Medicaid
2019-01,60,ME,Medicare
2019-01,421021,MI,Commercial
2019-01,29622,MI,Medicaid
2019-01,85367,MI,Medicare
2019-01,180493,MN,Commercial
2019-01,56,MN,Medicaid
2019-01,14945,MN,Medicare
2019-01,117708,MO,Commercial
2019-01,541,MO,Medicaid
2019-01,47927,MO,Medicare
2019-01,31990,MS,Commercial
2019-01,562,MS,Medicaid
2019-01,26749,MS,Medicare
2019-01,25022,MT,Commercial
2019-01,444,MT,Medicaid
2019-01,104,MT,Medicare
2019-01,98463,NC,Commercial
2019-01,68,NC,Medicaid
2019-01,1342,NC,Medicare
2019-01,8643,ND,Commercial
2019-01,8,ND,Medicaid
2019-01,101,ND,Medicare
2019-01,15199,NE,Commercial
2019-01,20,NE,Medicaid
2019-01,14733,NE,Medicare
2019-01,30120,NH,Commercial
2019-01,477,NH,Medicaid
2019-01,9179,NH,Medicare
2019-01,223532,NJ,Commercial
2019-01,686,NJ,Medicaid
2019-01,107943,NJ,Medicare
2019-01,89705,NM,Commercial
2019-01,477,NM,Medicaid
2019-01,96443,NM,Medicare
2019-01,32451,NV,Commercial
2019-01,80,NV,Medicaid
2019-01,26776,NV,Medicare
2019-01,366047,NY,Commercial
2019-01,761,NY,Medicaid
2019-01,248789,NY,Medicare
2019-01,462024,OH,Commercial
2019-01,1330,OH,Medicaid
2019-01,59845,OH,Medicare
2019-01,96936,OK,Commercial
2019-01,799,OK,Medicaid
2019-01,808,OK,Medicare
2019-01,29039,OR,Commercial
2019-01,174,OR,Medicaid
2019-01,10054,OR,Medicare
2019-01,122929,PA,Commercial
2019-01,8626,PA,Medicaid
2019-01,135854,PA,Medicare
2019-01,14014,PR,Commercial
2019-01,23759,PR,Medicaid
2019-01,271,PR,Medicare
2019-01,8772,RI,Commercial
2019-01,23,RI,Medicaid
2019-01,1408,RI,Medicare
2019-01,39507,SC,Commercial
2019-01,62,SC,Medicaid
2019-01,83799,SC,Medicare
2019-01,8744,SD,Commercial
2019-01,6,SD,Medicaid
2019-01,77,SD,Medicare
2019-01,61906,TN,Commercial
2019-01,148,TN,Medicaid
2019-01,43938,TN,Medicare
2019-01,716576,TX,Commercial
2019-01,35248,TX,Medicaid
2019-01,756099,TX,Medicare
2019-01,20032,UT,Commercial
2019-01,101,UT,Medicaid
2019-01,6079,UT,Medicare
2019-01,241542,VA,Commercial
2019-01,94,VA,Medicaid
2019-01,87635,VA,Medicare
2019-01,8367,VT,Commercial
2019-01,14,VT,Medicaid
2019-01,28,VT,Medicare
2019-01,70999,WA,Commercial
2019-01,46275,WA,Medicaid
2019-01,68052,WA,Medicare
2019-01,101501,WI,Commercial
2019-01,18009,WI,Medicaid
2019-01,29458,WI,Medicare
2019-01,13943,WV,Commercial
2019-01,8,WV,Medicaid
2019-01,30025,WV,Medicare
2019-01,5209,WY,Commercial
2019-01,6,WY,Medicaid
2019-01,66,WY,Medicare
2019-01,21836,,Commercial
2019-01,52,,Medicaid
2019-01,5299,,Medicare
2019-02,2924,AK,Commercial
2019-02,2,AK,Medicaid
2019-02,71,AK,Medicare
2019-02,33599,AL,Commercial
2019-02,23,AL,Medicaid
2019-02,622,AL,Medicare
2019-02,30777,AR,Commercial
2019-02,29,AR,Medicaid
2019-02,2433,AR,Medicare
2019-02,62035,AZ,Commercial
2019-02,276,AZ,Medicaid
2019-02,72435,AZ,Medicare
2019-02,800286,CA,Commercial
2019-02,54867,CA,Medicaid
2019-02,648903,CA,Medicare
2019-02,90331,CO,Commercial
2019-02,797,CO,Medicaid
2019-02,32769,CO,Medicare
2019-02,74979,CT,Commercial
2019-02,98,CT,Medicaid
2019-02,2412,CT,Medicare
2019-02,2956,DC,Commercial
2019-02,9,DC,Medicaid
2019-02,24065,DC,Medicare
2019-02,6959,DE,Commercial
2019-02,5613,DE,Medicaid
2019-02,15354,DE,Medicare
2019-02,338480,FL,Commercial
2019-02,1589,FL,Medicaid
2019-02,371692,FL,Medicare
2019-02,251784,GA,Commercial
2019-02,130,GA,Medicaid
2019-02,320543,GA,Medicare
2019-02,3810,HI,Commercial
2019-02,7,HI,Medicaid
2019-02,9541,HI,Medicare
2019-02,23805,IA,Commercial
2019-02,40,IA,Medicaid
2019-02,21002,IA,Medicare
2019-02,59838,ID,Commercial
2019-02,687,ID,Medicaid
2019-02,207,ID,Medicare
2019-02,507408,IL,Commercial
2019-02,6464,IL,Medicaid
2019-02,209034,IL,Medicare
2019-02,203707,IN,Commercial
2019-02,47,IN,Medicaid
2019-02,90239,IN,Medicare
2019-02,26525,KS,Commercial
2019-02,36,KS,Medicaid
2019-02,23655,KS,Medicare
2019-02,149224,KY,Commercial
2019-02,48,KY,Medicaid
2019-02,80346,KY,Medicare
2019-02,32279,LA,Commercial
2019-02,52,LA,Medicaid
2019-02,104728,LA,Medicare
2019-02,57066,MA,Commercial
2019-02,915,MA,Medicaid
2019-02,2506,MA,Medicare
2019-02,29509,MD,Commercial
2019-02,45,MD,Medicaid
2019-02,75654,MD,Medicare
2019-02,38301,ME,Commercial
2019-02,486,ME,Medicaid
2019-02,58,ME,Medicare
2019-02,419900,MI,Commercial
2019-02,29743,MI,Medicaid
2019-02,86698,MI,Medicare
2019-02,179991,MN,Commercial
2019-02,57,MN,Medicaid
2019-02,15071,MN,Medicare
2019-02,116834,MO,Commercial
2019-02,522,MO,Medicaid
2019-02,47557,MO,Medicare
2019-02,31896,MS,Commercial
2019-02,651,MS,Medicaid
2019-02,26873,MS,Medicare
2019-02,24919,MT,Commercial
2019-02,436,MT,Medicaid
2019-02,106,MT,Medicare
2019-02,98111,NC,Commercial
2019-02,65,NC,Medicaid
2019-02,1330,NC,Medicare
2019-02,8602,ND,Commercial
2019-02,8,ND,Medicaid
2019-02,103,ND,Medicare
2019-02,15105,NE,Commercial
2019-02,20,NE,Medicaid
2019-02,14839,NE,Medicare
2019-02,29639,NH,Commercial
2019-02,424,NH,Medicaid
2019-02,9255,NH,Medicare
2019-02,221724,NJ,Commercial
2019-02,692,NJ,Medicaid
2019-02,108310,NJ,Medicare
2019-02,89254,NM,Commercial
2019-02,496,NM,Medicaid
2019-02,97173,NM,Medicare
2019-02,32202,NV,Commercial
2019-02,77,NV,Medicaid
2019-02,26832,NV,Medicare
2019-02,360227,NY,Commercial
2019-02,720,NY,Medicaid
2019-02,248518,NY,Medicare
2019-02,461601,OH,Commercial
2019-02,1312,OH,Medicaid
2019-02,59899,OH,Medicare
2019-02,96628,OK,Commercial
2019-02,801,OK,Medicaid
2019-02,791,OK,Medicare
2019-02,28738,OR,Commercial
2019-02,165,OR,Medicaid
2019-02,10113,OR,Medicare
2019-02,120529,PA,Commercial
2019-02,8640,PA,Medicaid
2019-02,135763,PA,Medicare
2019-02,13998,PR,Commercial
2019-02,21940,PR,Medicaid
2019-02,254,PR,Medicare
2019-02,8949,RI,Commercial
2019-02,23,RI,Medicaid
2019-02,1141,RI,Medicare
2019-02,39197,SC,Commercial
2019-02,54,SC,Medicaid
2019-02,84478,SC,Medicare
2019-02,8666,SD,Commercial
2019-02,6,SD,Medicaid
2019-02,76,SD,Medicare
2019-02,61788,TN,Commercial
2019-02,151,TN,Medicaid
2019-02,44456,TN,Medicare
2019-02,713100,TX,Commercial
2019-02,35568,TX,Medicaid
2019-02,753148,TX,Medicare
2019-02,19899,UT,Commercial
2019-02,101,UT,Medicaid
2019-02,6061,UT,Medicare
2019-02,239089,VA,Commercial
2019-02,88,VA,Medicaid
2019-02,89684,VA,Medicare
2019-02,8395,VT,Commercial
2019-02,15,VT,Medicaid
2019-02,28,VT,Medicare
2019-02,70516,WA,Commercial
2019-02,46074,WA,Medicaid
2019-02,67723,WA,Medicare
2019-02,101166,WI,Commercial
2019-02,17958,WI,Medicaid
2019-02,29788,WI,Medicare
2019-02,13861,WV,Commercial
2019-02,7,WV,Medicaid
2019-02,30321,WV,Medicare
2019-02,5217,WY,Commercial
2019-02,7,WY,Medicaid
2019-02,65,WY,Medicare
2019-02,20327,,Commercial
2019-02,54,,Medicaid
2019-02,4986,,Medicare
2019-03,2918,AK,Commercial
2019-03,2,AK,Medicaid
2019-03,65,AK,Medicare
2019-03,33296,AL,Commercial
2019-03,23,AL,Medicaid
2019-03,603,AL,Medicare
2019-03,30893,AR,Commercial
2019-03,29,AR,Medicaid
2019-03,3275,AR,Medicare
2019-03,61811,AZ,Commercial
2019-03,255,AZ,Medicaid
2019-03,71154,AZ,Medicare
2019-03,800470,CA,Commercial
2019-03,52095,CA,Medicaid
2019-03,647976,CA,Medicare
2019-03,90000,CO,Commercial
2019-03,793,CO,Medicaid
2019-03,32298,CO,Medicare
2019-03,74651,CT,Commercial
2019-03,98,CT,Medicaid
2019-03,2395,CT,Medicare
2019-03,2962,DC,Commercial
2019-03,9,DC,Medicaid
2019-03,24176,DC,Medicare
2019-03,6990,DE,Commercial
2019-03,5560,DE,Medicaid
2019-03,15431,DE,Medicare
2019-03,338166,FL,Commercial
2019-03,1295,FL,Medicaid
2019-03,370843,FL,Medicare
2019-03,250459,GA,Commercial
2019-03,131,GA,Medicaid
2019-03,320203,GA,Medicare
2019-03,3749,HI,Commercial
2019-03,7,HI,Medicaid
2019-03,9564,HI,Medicare
2019-03,23821,IA,Commercial
2019-03,40,IA,Medicaid
2019-03,21277,IA,Medicare
2019-03,59401,ID,Commercial
2019-03,608,ID,Medicaid
2019-03,201,ID,Medicare
2019-03,510457,IL,Commercial
2019-03,6491,IL,Medicaid
2019-03,206910,IL,Medicare
2019-03,203485,IN,Commercial
2019-03,45,IN,Medicaid
2019-03,90554,IN,Medicare
2019-03,26486,KS,Commercial
2019-03,35,KS,Medicaid
2019-03,23709,KS,Medicare
2019-03,148853,KY,Commercial
2019-03,43,KY,Medicaid
2019-03,80165,KY,Medicare
2019-03,32151,LA,Commercial
2019-03,52,LA,Medicaid
2019-03,105098,LA,Medicare
2019-03,57417,MA,Commercial
2019-03,963,MA,Medicaid
2019-03,2539,MA,Medicare
2019-03,29547,MD,Commercial
2019-03,47,MD,Medicaid
2019-03,76132,MD,Medicare
2019-03,38181,ME,Commercial
2019-03,477,ME,Medicaid
2019-03,57,ME,Medicare
2019-03,419319,MI,Commercial
2019-03,28993,MI,Medicaid
2019-03,86995,MI,Medicare
2019-03,179760,MN,Commercial
2019-03,56,MN,Medicaid
2019-03,15104,MN,Medicare
2019-03,116602,MO,Commercial
2019-03,506,MO,Medicaid
2019-03,47019,MO,Medicare
2019-03,31713,MS,Commercial
2019-03,777,MS,Medicaid
2019-03,26933,MS,Medicare
2019-03,24876,MT,Commercial
2019-03,439,MT,Medicaid
2019-03,105,MT,Medicare
2019-03,98244,NC,Commercial
2019-03,64,NC,Medicaid
2019-03,1311,NC,Medicare
2019-03,8590,ND,Commercial
2019-03,8,ND,Medicaid
